card_id	deck	kind	source_chapter	prompt_language	answer_language	prompt	accepted_answers	distractors	explanation	lexical_ids	grammar_ids	geographic_ids	provenance_path	provenance_locator	provenance_evidence	examples	tags
zh-tghz2013-level-1/0006-map-01/hans-to-hant	通用规范汉字表 第1级	vocabulary	6	zh-Hans	zh-Hant	厂（工厂）	"[""廠（工廠）""]"	"[]"		"[""zh-tghz2013.0006"",""zh-tghz2013.0006.map-01""]"	"[]"	"[]"	sources/mappings.tsv	规范字编号 0006；对应码 6_1	这家工厂很大。 ⇄ 這家工廠很大。 (context lexical-context; source manual; official mapping; lexical-context)	"[""这家工厂很大。"",""這家工廠很大。""]"	"[""chinese"",""simplified-traditional"",""tghz2013"",""level-1"",""bidirectional"",""one-context-sentence"",""hans-to-hant""]"
zh-tghz2013-level-1/0006-map-01/hant-to-hans	通用规范汉字表 第1级	vocabulary	6	zh-Hant	zh-Hans	廠（工廠）	"[""厂（工厂）""]"	"[]"		"[""zh-tghz2013.0006"",""zh-tghz2013.0006.map-01""]"	"[]"	"[]"	sources/mappings.tsv	规范字编号 0006；对应码 6_1	这家工厂很大。 ⇄ 這家工廠很大。 (context lexical-context; source manual; official mapping; lexical-context)	"[""这家工厂很大。"",""這家工廠很大。""]"	"[""chinese"",""simplified-traditional"",""tghz2013"",""level-1"",""bidirectional"",""one-context-sentence"",""hant-to-hans""]"
zh-tghz2013-level-1/0008-map-00/hans-to-hant	通用规范汉字表 第1级	vocabulary	8	zh-Hans	zh-Hant	卜（占卜）	"[""卜（占卜）""]"	"[]"		"[""zh-tghz2013.0008"",""zh-tghz2013.0008.map-00""]"	"[]"	"[]"	sources/mappings.tsv	规范字编号 0008；对应码 8_0	古人有时会占卜。 ⇄ 古人有時會占卜。 (context lexical-context; source manual; inherited mapping; lexical-context)	"[""古人有时会占卜。"",""古人有時會占卜。""]"	"[""chinese"",""simplified-traditional"",""tghz2013"",""level-1"",""bidirectional"",""one-context-sentence"",""hans-to-hant""]"
zh-tghz2013-level-1/0008-map-00/hant-to-hans	通用规范汉字表 第1级	vocabulary	8	zh-Hant	zh-Hans	卜（占卜）	"[""卜（占卜）""]"	"[]"		"[""zh-tghz2013.0008"",""zh-tghz2013.0008.map-00""]"	"[]"	"[]"	sources/mappings.tsv	规范字编号 0008；对应码 8_0	古人有时会占卜。 ⇄ 古人有時會占卜。 (context lexical-context; source manual; inherited mapping; lexical-context)	"[""古人有时会占卜。"",""古人有時會占卜。""]"	"[""chinese"",""simplified-traditional"",""tghz2013"",""level-1"",""bidirectional"",""one-context-sentence"",""hant-to-hans""]"
zh-tghz2013-level-1/0008-map-01/hans-to-hant	通用规范汉字表 第1级	vocabulary	8	zh-Hans	zh-Hant	卜（萝卜）	"[""蔔（蘿蔔）""]"	"[]"		"[""zh-tghz2013.0008"",""zh-tghz2013.0008.map-01""]"	"[]"	"[]"	sources/mappings.tsv	规范字编号 0008；对应码 8_1	我买了一个萝卜。 ⇄ 我買了一個蘿蔔。 (context lexical-context; source manual; official mapping; lexical-context)	"[""我买了一个萝卜。"",""我買了一個蘿蔔。""]"	"[""chinese"",""simplified-traditional"",""tghz2013"",""level-1"",""bidirectional"",""one-context-sentence"",""hans-to-hant""]"
zh-tghz2013-level-1/0008-map-01/hant-to-hans	通用规范汉字表 第1级	vocabulary	8	zh-Hant	zh-Hans	蔔（蘿蔔）	"[""卜（萝卜）""]"	"[]"		"[""zh-tghz2013.0008"",""zh-tghz2013.0008.map-01""]"	"[]"	"[]"	sources/mappings.tsv	规范字编号 0008；对应码 8_1	我买了一个萝卜。 ⇄ 我買了一個蘿蔔。 (context lexical-context; source manual; official mapping; lexical-context)	"[""我买了一个萝卜。"",""我買了一個蘿蔔。""]"	"[""chinese"",""simplified-traditional"",""tghz2013"",""level-1"",""bidirectional"",""one-context-sentence"",""hant-to-hans""]"
zh-tghz2013-level-1/0012-map-01/hans-to-hant	通用规范汉字表 第1级	vocabulary	12	zh-Hans	zh-Hant	儿（儿童）	"[""兒（兒童）""]"	"[]"		"[""zh-tghz2013.0012"",""zh-tghz2013.0012.map-01""]"	"[]"	"[]"	sources/mappings.tsv	规范字编号 0012；对应码 12_1	儿童需要保护。 ⇄ 兒童需要保護。 (context lexical-context; source manual; official mapping; lexical-context)	"[""儿童需要保护。"",""兒童需要保護。""]"	"[""chinese"",""simplified-traditional"",""tghz2013"",""level-1"",""bidirectional"",""one-context-sentence"",""hans-to-hant""]"
zh-tghz2013-level-1/0012-map-01/hant-to-hans	通用规范汉字表 第1级	vocabulary	12	zh-Hant	zh-Hans	兒（兒童）	"[""儿（儿童）""]"	"[]"		"[""zh-tghz2013.0012"",""zh-tghz2013.0012.map-01""]"	"[]"	"[]"	sources/mappings.tsv	规范字编号 0012；对应码 12_1	儿童需要保护。 ⇄ 兒童需要保護。 (context lexical-context; source manual; official mapping; lexical-context)	"[""儿童需要保护。"",""兒童需要保護。""]"	"[""chinese"",""simplified-traditional"",""tghz2013"",""level-1"",""bidirectional"",""one-context-sentence"",""hant-to-hans""]"
zh-tghz2013-level-1/0014-map-00/hans-to-hant	通用规范汉字表 第1级	vocabulary	14	zh-Hans	zh-Hant	几（茶几）	"[""几（茶几）""]"	"[]"		"[""zh-tghz2013.0014"",""zh-tghz2013.0014.map-00""]"	"[]"	"[]"	sources/mappings.tsv	规范字编号 0014；对应码 14_0	杯子放在茶几上。 ⇄ 杯子放在茶几上。 (context lexical-context; source manual; inherited mapping; lexical-context)	"[""杯子放在茶几上。""]"	"[""chinese"",""simplified-traditional"",""tghz2013"",""level-1"",""bidirectional"",""one-context-sentence"",""hans-to-hant""]"
zh-tghz2013-level-1/0014-map-00/hant-to-hans	通用规范汉字表 第1级	vocabulary	14	zh-Hant	zh-Hans	几（茶几）	"[""几（茶几）""]"	"[]"		"[""zh-tghz2013.0014"",""zh-tghz2013.0014.map-00""]"	"[]"	"[]"	sources/mappings.tsv	规范字编号 0014；对应码 14_0	杯子放在茶几上。 ⇄ 杯子放在茶几上。 (context lexical-context; source manual; inherited mapping; lexical-context)	"[""杯子放在茶几上。""]"	"[""chinese"",""simplified-traditional"",""tghz2013"",""level-1"",""bidirectional"",""one-context-sentence"",""hant-to-hans""]"
