order	source_mapping	simplified	traditional	pinyin	taiwan_pinyin	meaning	simplified_sentence	traditional_sentence	example_source	example_source_id	source_sentence	pinyin_source	taiwan_pinyin_source
1	6554_1	冬衣	冬衣	dōng yī		winter clothes	工匠把纩填进冬衣。	工匠把纊填進冬衣。	preexisting			CC-CEDICT	
2	6582_1	木器	木器	mù qì		wooden articles	古代木器或植物记录中可见杩。	古代木器或植物記錄中可見榪。	preexisting			CC-CEDICT	
3	6624_1	出征	出征	chū zhēng		to go into battle	军队出征前举行祃祭。	軍隊出征前舉行禡祭。	preexisting			CC-CEDICT	
4	6630_1	修整	修整	xiū zhěng		to spruce up	弓匠正在修整𫸩。	弓匠正在修整彄。	preexisting			CC-CEDICT	
5	6639_1	连夜	連夜	lián yè		that very night	使者乘驲连夜赶路。	使者乘馹連夜趕路。	preexisting			CC-CEDICT	
6	6706_1	以下	以下	yǐ xià		that level or lower	自郐以下是一个成语或固定说法。	自鄶以下是一個成語或固定說法。	authored	level-3/6706_1	自郐以下是一个成语或固定说法。	CC-CEDICT	
7	6744_1	姿容	姿容	zī róng		looks	古文称她姿容𫰛美。	古文稱她姿容娙美。	preexisting			CC-CEDICT	
8	6745_1	迳庭	逕庭	jìng tíng		very different	迳庭是一个较少见的词语。	逕庭是一個較少見的詞語。	authored	level-3/6745_1	迳庭是一个较少见的词语。	CC-CEDICT	
9	6753_1	执绋	執紼	zhí fú		to attend a funeral	执绋是一个较少见的词语。	執紼是一個較少見的詞語。	authored	level-3/6753_1	执绋是一个较少见的词语。	CC-CEDICT	
10	6932_1	称赞	稱讚	chēng zàn		to praise	史书称赞他的𪟝。	史書稱讚他的勣。	preexisting			CC-CEDICT	
11	6958_1	枝桠	枝椏	zhī yā		branch	枝桠是一个较少见的词语。	枝椏是一個較少見的詞語。	authored	level-3/6958_1	枝桠是一个较少见的词语。	CC-CEDICT	
12	6967_1	听见	聽見	tīng jiàn		to hear	他听见呼声便𫠆首。	他聽見呼聲便頍首。	preexisting			CC-CEDICT	
13	6967_1	呼声	呼聲	hū shēng		a shout	他听见呼声便𫠆首。	他聽見呼聲便頍首。	preexisting			CC-CEDICT	
14	6981_1	不赀	不貲	bù zī		immeasurable	不赀是一个较少见的词语。	不貲是一個較少見的詞語。	authored	level-3/6981_1	不赀是一个较少见的词语。	CC-CEDICT	
15	6991_1	余晖	餘暉	yú huī		twilight	余晖是一个较少见的词语。	餘暉是一個較少見的詞語。	authored	level-3/6991_1	余晖是一个较少见的词语。	CC-CEDICT	
16	7029_1	鹡鸰	鶺鴒	jí líng		wagtail	鹡鸰是一种鸟。	鶺鴒是一種鳥。	authored	level-3/7029_1	鹡鸰是一种鸟。	CC-CEDICT	
17	7053_1	饭菜	飯菜	fàn cài		food	厨师把饭菜重新𬊈热。	廚師把飯菜重新燖熱。	preexisting			CC-CEDICT	
18	7074_1	幽静	幽靜	yōu jìng		quiet	山谷窎远而幽静。	山谷窵遠而幽靜。	preexisting			CC-CEDICT	
19	7095_1	布衣	布衣	bù yī		plain cotton clothing	古人用绤制作粗布衣。	古人用綌製作粗布衣。	preexisting			CC-CEDICT	
20	7117_1	千金	千金	qiān jīn		thousand jin 斤 of gold	一壸千金是一个成语或固定说法。	一壼千金是一個成語或固定說法。	authored	level-3/7117_1	一壸千金是一个成语或固定说法。	CC-CEDICT	
