deck	direction	front	back	source_chapter	entry_type	notes
Chapter 6-10	Spanish -> English	tengo	have	6	function word	Used with `yo`.
Chapter 6-10	English -> Spanish	have	tengo	6	function word	Used with `yo`.
Chapter 6-10	Spanish -> English	bolsa	bag	6	vocabulary	Noun.
Chapter 6-10	English -> Spanish	bag	bolsa	6	vocabulary	Noun.
Chapter 6-10	Spanish -> English	teléfono	phone	6	vocabulary	Noun.
Chapter 6-10	English -> Spanish	phone	teléfono	6	vocabulary	Noun.
Chapter 6-10	Spanish -> English	llave	key	6	vocabulary	Noun.
Chapter 6-10	English -> Spanish	key	llave	6	vocabulary	Noun.
Chapter 6-10	Spanish -> English	tienes	have	7	function word	Used with `tú`.
Chapter 6-10	English -> Spanish	have	tienes	7	function word	Used with `tú`.
Chapter 6-10	Spanish -> English	computadora	computer	7	vocabulary	Noun.
Chapter 6-10	English -> Spanish	computer	computadora	7	vocabulary	Noun.
Chapter 6-10	Spanish -> English	cuaderno	notebook	7	vocabulary	Noun.
Chapter 6-10	English -> Spanish	notebook	cuaderno	7	vocabulary	Noun.
Chapter 6-10	Spanish -> English	tarjeta	card	7	vocabulary	Noun.
Chapter 6-10	English -> Spanish	card	tarjeta	7	vocabulary	Noun.
Chapter 6-10	Spanish -> English	quiero	want	8	function word	Used with `yo`.
Chapter 6-10	English -> Spanish	want	quiero	8	function word	Used with `yo`.
Chapter 6-10	Spanish -> English	comida	food	8	vocabulary	Noun.
Chapter 6-10	English -> Spanish	food	comida	8	vocabulary	Noun.
Chapter 6-10	Spanish -> English	arroz	rice	8	vocabulary	Noun.
Chapter 6-10	English -> Spanish	rice	arroz	8	vocabulary	Noun.
Chapter 6-10	Spanish -> English	sopa	soup	8	vocabulary	Noun.
Chapter 6-10	English -> Spanish	soup	sopa	8	vocabulary	Noun.
Chapter 6-10	Spanish -> English	voy	go; am going	9	function word	Used with `yo`.
Chapter 6-10	English -> Spanish	go; am going	voy	9	function word	Used with `yo`.
Chapter 6-10	Spanish -> English	a	to	9	vocabulary	Direction word.
Chapter 6-10	English -> Spanish	to	a	9	vocabulary	Direction word.
Chapter 6-10	Spanish -> English	mercado	market	9	vocabulary	Noun.
Chapter 6-10	English -> Spanish	market	mercado	9	vocabulary	Noun.
Chapter 6-10	Spanish -> English	estación	station	9	vocabulary	Noun.
Chapter 6-10	English -> Spanish	station	estación	9	vocabulary	Noun.
Chapter 6-10	Spanish -> English	vivo	live	10	function word	Used with `yo`.
Chapter 6-10	English -> Spanish	live	vivo	10	function word	Used with `yo`.
Chapter 6-10	Spanish -> English	en	in	10	vocabulary	Place word.
Chapter 6-10	English -> Spanish	in	en	10	vocabulary	Place word.
Chapter 6-10	Spanish -> English	Madrid	Madrid	10	vocabulary	Place name.
Chapter 6-10	English -> Spanish	Madrid	Madrid	10	vocabulary	Place name.
Chapter 6-10	Spanish -> English	Barcelona	Barcelona	10	vocabulary	Place name.
Chapter 6-10	English -> Spanish	Barcelona	Barcelona	10	vocabulary	Place name.
