official_no	level	simplified	mapping_code	traditional	inherited	simplified_example	traditional_example	example_source	original_example_source	simplified_sentence	traditional_sentence	field_usage	context_kind
6	1	厂	6_1	廠	false	工厂	工廠	lexical-context	manual	这家工厂很大。	這家工廠很大。		lexical-context
8	1	卜	8_0	卜	true	占卜	占卜	lexical-context	manual	古人有时会占卜。	古人有時會占卜。		lexical-context
8	1	卜	8_1	蔔	false	萝卜	蘿蔔	lexical-context	manual	我买了一个萝卜。	我買了一個蘿蔔。		lexical-context
12	1	儿	12_1	兒	false	儿童	兒童	lexical-context	manual	儿童需要保护。	兒童需要保護。		lexical-context
14	1	几	14_0	几	true	茶几	茶几	lexical-context	manual	杯子放在茶几上。	杯子放在茶几上。		lexical-context
14	1	几	14_1	幾	false	几个	幾個	lexical-context	manual	这里有几个苹果。	這裡有幾個蘋果。		lexical-context
17	1	了	17_0	了	true	吃了	吃了	lexical-context	manual	他已经吃了。	他已經吃了。		lexical-context
17	1	了	17_1	瞭	false	了解	瞭解	authored-natural-example	manual	我已经了解事情的经过。	我已經瞭解事情的經過。		lexical-context
23	1	干	23_0	干	true	干涉	干涉	lexical-context	manual	请不要干涉。	請不要干涉。		lexical-context
23	1	干	23_1	乾	false	干燥	乾燥	lexical-context	manual	今天天气很干燥。	今天天氣很乾燥。		lexical-context
23	1	干	23_2	幹	false	干活	幹活	lexical-context	manual	他正在干活。	他正在幹活。		lexical-context
25	1	亏	25_1	虧	false	吃亏	吃虧	corpus-example	tatoeba:420746	我天天在这里做买卖，不会让你吃亏的！	我天天在這裡做買賣，不會讓你吃虧的！		lexical-context
29	1	才	29_0	才	true	人才	人才	lexical-context	manual	公司需要人才。	公司需要人才。		lexical-context
29	1	才	29_1	纔	false	刚才	剛纔	lexical-context	manual	他刚才来了。	他剛纔來了。		lexical-context
34	1	与	34_1	與	false	与你一起	與你一起	authored-example	project-authored	我想与你一起去看海。	我想與你一起去看海。		lexical-context
35	1	万	35_0	万	true	万俟	万俟	lexical-context	manual	万俟是一个复姓。	万俟是一個複姓。		lexical-context
35	1	万	35_1	萬	false	一万	一萬	lexical-context	manual	这里有一万人。	這裡有一萬人。		lexical-context
41	1	千	41_0	千	true	一千	一千	lexical-context	manual	一千米并不远。	一千米並不遠。		lexical-context
41	1	千	41_1	韆	false	秋千	鞦韆	lexical-context	manual	孩子在荡秋千。	孩子在盪鞦韆。		lexical-context
44	1	亿	44_1	億	false	一亿元	一億元	authored-example	project-authored	这项工程耗资一亿元。	這項工程耗資一億元。		lexical-context
45	1	个	45_1	個	false	一个人	一個人	authored-example	project-authored	她一个人完成了任务。	她一個人完成了任務。		lexical-context
48	1	么	48_1	麼	false	什么	什麼	lexical-context	manual	你在看什么？	你在看什麼？		lexical-context
53	1	广	53_1	廣	false	广场	廣場	lexical-context	manual	我们在广场见面。	我們在廣場見面。		lexical-context
55	1	门	55_1	門	false	天安门	天安門	corpus-example	tatoeba:1216101	前边儿是天安门。	前邊兒是天安門。		lexical-context
57	1	义	57_1	義	false	社会主义	社會主義	authored-example	project-authored	这本书讨论社会主义的发展。	這本書討論社會主義的發展。		lexical-context
65	1	卫	65_1	衛	false	卫生	衛生	corpus-example	tatoeba:3479866	你家好脏啊！你多久没打扫卫生？	你家好髒啊！你多久沒打掃衛生？		lexical-context
69	1	飞	69_1	飛	false	飞机	飛機	corpus-example	tatoeba:408272	如今很多的货物都由飞机运送。	如今很多的貨物都由飛機運送。		lexical-context
70	1	习	70_1	習	false	学习	學習	corpus-example	tatoeba:717323	你开着电视怎么能安心学习呢？	你開著電視怎麼能安心學習呢？		lexical-context
72	1	马	72_1	馬	false	人马	人馬	authored-example	project-authored	将军清点了所有人马。	將軍清點了所有人馬。		lexical-context
73	1	乡	73_1	鄉	false	城乡	城鄉	authored-example	project-authored	城乡之间的交通越来越便利。	城鄉之間的交通越來越便利。		lexical-context
74	1	丰	74_0	丰	true	张三丰	張三丰	authored-example	project-authored	传说张三丰精通武术。	傳說張三丰精通武術。		lexical-context
74	1	丰	74_1	豐	false	丰富	豐富	corpus-example	tatoeba:487621	印度是一个烹饪文化丰富的地区。	印度是一個烹飪文化豐富的地區。		lexical-context
76	1	开	76_1	開	false	开始	開始	corpus-example	tatoeba:332616	我们的计划从一开始就出错了。	我們的計劃從一開始就出錯了。		lexical-context
81	1	无	81_1	無	false	无法	無法	corpus-example	tatoeba:432907	他因为太疲劳而无法继续前进。	他因為太疲勞而無法繼續前進。		lexical-context
82	1	云	82_0	云	true	不知所云	不知所云	authored-example	project-authored	他讲了半天，我还是不知所云。	他講了半天，我還是不知所云。		lexical-context
