deck	direction	front	back	source_chapter	entry_type	notes
Chapter 46-50	Korean -> English	월	month marker	46	vocabulary	Sino-Korean number.
Chapter 46-50	English -> Korean	month marker	월	46	vocabulary	Sino-Korean number.
Chapter 46-50	Korean -> English	일	day-of-month marker	46	vocabulary	Sino-Korean number.
Chapter 46-50	English -> Korean	day-of-month marker	일	46	vocabulary	Sino-Korean number.
Chapter 46-50	Korean -> English	층	floor counter	46	vocabulary	Counter.
Chapter 46-50	English -> Korean	floor counter	층	46	vocabulary	Counter.
Chapter 46-50	Korean -> English	호	room number marker	46	vocabulary	Identifier marker.
Chapter 46-50	English -> Korean	room number marker	호	46	vocabulary	Identifier marker.
Chapter 46-50	Korean -> English	일정	itinerary; schedule	46	vocabulary	Noun.
Chapter 46-50	English -> Korean	itinerary; schedule	일정	46	vocabulary	Noun.
Chapter 46-50	Korean -> English	전망대	observatory	46	vocabulary	Noun.
Chapter 46-50	English -> Korean	observatory	전망대	46	vocabulary	Noun.
Chapter 46-50	Korean -> English	예약	reservation	47	vocabulary	Noun.
Chapter 46-50	English -> Korean	reservation	예약	47	vocabulary	Noun.
Chapter 46-50	Korean -> English	지배인	manager	47	vocabulary	Noun.
Chapter 46-50	English -> Korean	manager	지배인	47	vocabulary	Noun.
Chapter 46-50	Korean -> English	음료	beverage	47	vocabulary	Noun.
Chapter 46-50	English -> Korean	beverage	음료	47	vocabulary	Noun.
Chapter 46-50	Korean -> English	잔	cup/glass counter	47	vocabulary	Counter.
Chapter 46-50	English -> Korean	cup/glass counter	잔	47	vocabulary	Counter.
Chapter 46-50	Korean -> English	전화번호	telephone number	47	vocabulary	Noun.
Chapter 46-50	English -> Korean	telephone number	전화번호	47	vocabulary	Noun.
Chapter 46-50	Korean -> English	담당하다	be in charge of	47	vocabulary	Verb.
Chapter 46-50	English -> Korean	be in charge of	담당하다	47	vocabulary	Verb.
Chapter 46-50	Korean -> English	씩	each; apiece	48	grammar	Distribution particle.
Chapter 46-50	English -> Korean	each; apiece	씩	48	grammar	Distribution particle.
Chapter 46-50	Korean -> English	물품	supplies; goods	48	vocabulary	Noun.
Chapter 46-50	English -> Korean	supplies; goods	물품	48	vocabulary	Noun.
Chapter 46-50	Korean -> English	노트북	laptop	48	vocabulary	Noun.
Chapter 46-50	English -> Korean	laptop	노트북	48	vocabulary	Noun.
Chapter 46-50	Korean -> English	대	machine/vehicle counter	48	vocabulary	Counter.
Chapter 46-50	English -> Korean	machine/vehicle counter	대	48	vocabulary	Counter.
Chapter 46-50	Korean -> English	배치하다	arrange; deploy	48	vocabulary	Verb.
Chapter 46-50	English -> Korean	arrange; deploy	배치하다	48	vocabulary	Verb.
Chapter 46-50	Korean -> English	총수량	total quantity	48	vocabulary	Noun.
Chapter 46-50	English -> Korean	total quantity	총수량	48	vocabulary	Noun.
Chapter 46-50	Korean -> English	정도	about; approximately	49	grammar	Approximation marker.
Chapter 46-50	English -> Korean	about; approximately	정도	49	grammar	Approximation marker.
Chapter 46-50	Korean -> English	주문	order	49	vocabulary	Noun.
Chapter 46-50	English -> Korean	order	주문	49	vocabulary	Noun.
Chapter 46-50	Korean -> English	수량	quantity	49	vocabulary	Noun.
Chapter 46-50	English -> Korean	quantity	수량	49	vocabulary	Noun.
Chapter 46-50	Korean -> English	거의	almost	49	vocabulary	Adverb.
Chapter 46-50	English -> Korean	almost	거의	49	vocabulary	Adverb.
Chapter 46-50	Korean -> English	차이	difference	49	vocabulary	Noun.
Chapter 46-50	English -> Korean	difference	차이	49	vocabulary	Noun.
Chapter 46-50	Korean -> English	선택하다	choose	49	vocabulary	Verb.
Chapter 46-50	English -> Korean	choose	선택하다	49	vocabulary	Verb.
Chapter 46-50	Korean -> English	축제	festival	50	vocabulary	Noun.
Chapter 46-50	English -> Korean	festival	축제	50	vocabulary	Noun.
Chapter 46-50	Korean -> English	준비팀	preparation team	50	vocabulary	Noun.
Chapter 46-50	English -> Korean	preparation team	준비팀	50	vocabulary	Noun.
Chapter 46-50	Korean -> English	정확히	exactly	50	vocabulary	Adverb.
Chapter 46-50	English -> Korean	exactly	정확히	50	vocabulary	Adverb.
Chapter 46-50	Korean -> English	제공하다	provide	50	vocabulary	Verb.
Chapter 46-50	English -> Korean	provide	제공하다	50	vocabulary	Verb.
Chapter 46-50	Korean -> English	합계	total; sum	50	vocabulary	Noun.
Chapter 46-50	English -> Korean	total; sum	합계	50	vocabulary	Noun.
Chapter 46-50	Korean -> English	완료하다	complete	50	vocabulary	Verb.
Chapter 46-50	English -> Korean	complete	완료하다	50	vocabulary	Verb.
