deck	direction	front	back	source_chapter	entry_type	notes
Chapter 16-20	English -> Japanese	Meaning: o'clock	Japanese: 時\nReading: じ	16	function word	Core review entry.
Chapter 16-20	Japanese -> English	Japanese: 時	Meaning: o'clock\nReading: じ	16	function word	Core review entry.
Chapter 16-20	Reading -> Japanese	Reading: じ	Meaning: o'clock\nJapanese: 時	16	function word	Core review entry.
Chapter 16-20	English -> Japanese	Meaning: half past	Japanese: 半\nReading: はん	16	function word	Core review entry.
Chapter 16-20	Japanese -> English	Japanese: 半	Meaning: half past\nReading: はん	16	function word	Core review entry.
Chapter 16-20	Reading -> Japanese	Reading: はん	Meaning: half past\nJapanese: 半	16	function word	Core review entry.
Chapter 16-20	English -> Japanese	Meaning: every day	Japanese: 毎日\nReading: まいにち	16	vocabulary	Core review entry.
Chapter 16-20	Japanese -> English	Japanese: 毎日	Meaning: every day\nReading: まいにち	16	vocabulary	Core review entry.
Chapter 16-20	Reading -> Japanese	Reading: まいにち	Meaning: every day\nJapanese: 毎日	16	vocabulary	Core review entry.
Chapter 16-20	English -> Japanese	Meaning: a.m.; morning	Japanese: 午前\nReading: ごぜん	16	vocabulary	Core review entry.
Chapter 16-20	Japanese -> English	Japanese: 午前	Meaning: a.m.; morning\nReading: ごぜん	16	vocabulary	Core review entry.
Chapter 16-20	Reading -> Japanese	Reading: ごぜん	Meaning: a.m.; morning\nJapanese: 午前	16	vocabulary	Core review entry.
Chapter 16-20	English -> Japanese	Meaning: p.m.; afternoon	Japanese: 午後\nReading: ごご	16	vocabulary	Core review entry.
Chapter 16-20	Japanese -> English	Japanese: 午後	Meaning: p.m.; afternoon\nReading: ごご	16	vocabulary	Core review entry.
Chapter 16-20	Reading -> Japanese	Reading: ごご	Meaning: p.m.; afternoon\nJapanese: 午後	16	vocabulary	Core review entry.
Chapter 16-20	English -> Japanese	Meaning: begin	Japanese: 始まります\nReading: はじまります	16	vocabulary	Core review entry.
Chapter 16-20	Japanese -> English	Japanese: 始まります	Meaning: begin\nReading: はじまります	16	vocabulary	Core review entry.
