card_id	deck	kind	source_chapter	prompt_language	answer_language	prompt	accepted_answers	distractors	explanation	lexical_ids	grammar_ids	geographic_ids	provenance_path	provenance_locator	provenance_evidence	examples	tags
zh-tghz2013-level-1/0017-map-01/hans-to-hant	通用规范汉字表 第1级	vocabulary	17	zh-Hans	zh-Hant	了（我了解这件事。）	"[""瞭（我瞭解這件事。）""]"	[]	规范字0017：了 ⇄ 瞭。语境：我了解这件事。 ⇄ 我瞭解這件事。	"[""zh-tghz2013.0017"",""zh-tghz2013.0017.map-01""]"	[]	[]	sources/mappings.tsv	规范字编号 0017；对应码 17_1	了 → 瞭；我了解这件事。 ⇄ 我瞭解這件事。	"[""我了解这件事。"",""我瞭解這件事。""]"	"[""chinese"",""simplified-traditional"",""tghz2013"",""level-1"",""bidirectional"",""one-context-sentence"",""hans-to-hant""]"
zh-tghz2013-level-1/0017-map-01/hant-to-hans	通用规范汉字表 第1级	vocabulary	17	zh-Hant	zh-Hans	瞭（我瞭解這件事。）	"[""了（我了解这件事。）""]"	[]	规范字0017：了 ⇄ 瞭。语境：我了解这件事。 ⇄ 我瞭解這件事。	"[""zh-tghz2013.0017"",""zh-tghz2013.0017.map-01""]"	[]	[]	sources/mappings.tsv	规范字编号 0017；对应码 17_1	了 → 瞭；我了解这件事。 ⇄ 我瞭解這件事。	"[""我了解这件事。"",""我瞭解這件事。""]"	"[""chinese"",""simplified-traditional"",""tghz2013"",""level-1"",""bidirectional"",""one-context-sentence"",""hant-to-hans""]"
zh-tghz2013-level-1/0159-map-01/hans-to-hant	通用规范汉字表 第1级	vocabulary	159	zh-Hans	zh-Hant	凤（例句中使用了“凤凰”。）	"[""鳳（例句中使用了「鳳凰」。）""]"	[]	规范字0159：凤 ⇄ 鳳。语境：例句中使用了“凤凰”。 ⇄ 例句中使用了「鳳凰」。	"[""zh-tghz2013.0159"",""zh-tghz2013.0159.map-01""]"	[]	[]	sources/mappings.tsv	规范字编号 0159；对应码 159_1	凤 → 鳳；例句中使用了“凤凰”。 ⇄ 例句中使用了「鳳凰」。	"[""例句中使用了“凤凰”。"",""例句中使用了「鳳凰」。""]"	"[""chinese"",""simplified-traditional"",""tghz2013"",""level-1"",""bidirectional"",""one-context-sentence"",""hans-to-hant""]"
zh-tghz2013-level-1/0159-map-01/hant-to-hans	通用规范汉字表 第1级	vocabulary	159	zh-Hant	zh-Hans	鳳（例句中使用了「鳳凰」。）	"[""凤（例句中使用了“凤凰”。）""]"	[]	规范字0159：凤 ⇄ 鳳。语境：例句中使用了“凤凰”。 ⇄ 例句中使用了「鳳凰」。	"[""zh-tghz2013.0159"",""zh-tghz2013.0159.map-01""]"	[]	[]	sources/mappings.tsv	规范字编号 0159；对应码 159_1	凤 → 鳳；例句中使用了“凤凰”。 ⇄ 例句中使用了「鳳凰」。	"[""例句中使用了“凤凰”。"",""例句中使用了「鳳凰」。""]"	"[""chinese"",""simplified-traditional"",""tghz2013"",""level-1"",""bidirectional"",""one-context-sentence"",""hant-to-hans""]"
zh-tghz2013-level-1/0407-map-01/hans-to-hant	通用规范汉字表 第1级	vocabulary	407	zh-Hans	zh-Hant	划（例句中使用了“计划”。）	"[""劃（例句中使用了「計劃」。）""]"	[]	规范字0407：划 ⇄ 劃。语境：例句中使用了“计划”。 ⇄ 例句中使用了「計劃」。	"[""zh-tghz2013.0407"",""zh-tghz2013.0407.map-01""]"	[]	[]	sources/mappings.tsv	规范字编号 0407；对应码 407_1	划 → 劃；例句中使用了“计划”。 ⇄ 例句中使用了「計劃」。	"[""例句中使用了“计划”。"",""例句中使用了「計劃」。""]"	"[""chinese"",""simplified-traditional"",""tghz2013"",""level-1"",""bidirectional"",""one-context-sentence"",""hans-to-hant""]"
zh-tghz2013-level-1/0407-map-01/hant-to-hans	通用规范汉字表 第1级	vocabulary	407	zh-Hant	zh-Hans	劃（例句中使用了「計劃」。）	"[""划（例句中使用了“计划”。）""]"	[]	规范字0407：划 ⇄ 劃。语境：例句中使用了“计划”。 ⇄ 例句中使用了「計劃」。	"[""zh-tghz2013.0407"",""zh-tghz2013.0407.map-01""]"	[]	[]	sources/mappings.tsv	规范字编号 0407；对应码 407_1	划 → 劃；例句中使用了“计划”。 ⇄ 例句中使用了「計劃」。	"[""例句中使用了“计划”。"",""例句中使用了「計劃」。""]"	"[""chinese"",""simplified-traditional"",""tghz2013"",""level-1"",""bidirectional"",""one-context-sentence"",""hant-to-hans""]"
zh-tghz2013-level-1/0439-map-01/hans-to-hant	通用规范汉字表 第1级	vocabulary	439	zh-Hans	zh-Hant	岂（例句中使用了“岂非”。）	"[""豈（例句中使用了「豈非」。）""]"	[]	规范字0439：岂 ⇄ 豈。语境：例句中使用了“岂非”。 ⇄ 例句中使用了「豈非」。	"[""zh-tghz2013.0439"",""zh-tghz2013.0439.map-01""]"	[]	[]	sources/mappings.tsv	规范字编号 0439；对应码 439_1	岂 → 豈；例句中使用了“岂非”。 ⇄ 例句中使用了「豈非」。	"[""例句中使用了“岂非”。"",""例句中使用了「豈非」。""]"	"[""chinese"",""simplified-traditional"",""tghz2013"",""level-1"",""bidirectional"",""one-context-sentence"",""hans-to-hant""]"
zh-tghz2013-level-1/0439-map-01/hant-to-hans	通用规范汉字表 第1级	vocabulary	439	zh-Hant	zh-Hans	豈（例句中使用了「豈非」。）	"[""岂（例句中使用了“岂非”。）""]"	[]	规范字0439：岂 ⇄ 豈。语境：例句中使用了“岂非”。 ⇄ 例句中使用了「豈非」。	"[""zh-tghz2013.0439"",""zh-tghz2013.0439.map-01""]"	[]	[]	sources/mappings.tsv	规范字编号 0439；对应码 439_1	岂 → 豈；例句中使用了“岂非”。 ⇄ 例句中使用了「豈非」。	"[""例句中使用了“岂非”。"",""例句中使用了「豈非」。""]"	"[""chinese"",""simplified-traditional"",""tghz2013"",""level-1"",""bidirectional"",""one-context-sentence"",""hant-to-hans""]"
zh-tghz2013-level-1/0445-map-01/hans-to-hant	通用规范汉字表 第1级	vocabulary	445	zh-Hans	zh-Hant	朱（例句中使用了“朱红”。）	"[""硃（例句中使用了「硃紅」。）""]"	[]	规范字0445：朱 ⇄ 硃。语境：例句中使用了“朱红”。 ⇄ 例句中使用了「硃紅」。	"[""zh-tghz2013.0445"",""zh-tghz2013.0445.map-01""]"	[]	[]	sources/mappings.tsv	规范字编号 0445；对应码 445_1	朱 → 硃；例句中使用了“朱红”。 ⇄ 例句中使用了「硃紅」。	"[""例句中使用了“朱红”。"",""例句中使用了「硃紅」。""]"	"[""chinese"",""simplified-traditional"",""tghz2013"",""level-1"",""bidirectional"",""one-context-sentence"",""hans-to-hant""]"
zh-tghz2013-level-1/0445-map-01/hant-to-hans	通用规范汉字表 第1级	vocabulary	445	zh-Hant	zh-Hans	硃（例句中使用了「硃紅」。）	"[""朱（例句中使用了“朱红”。）""]"	[]	规范字0445：朱 ⇄ 硃。语境：例句中使用了“朱红”。 ⇄ 例句中使用了「硃紅」。	"[""zh-tghz2013.0445"",""zh-tghz2013.0445.map-01""]"	[]	[]	sources/mappings.tsv	规范字编号 0445；对应码 445_1	朱 → 硃；例句中使用了“朱红”。 ⇄ 例句中使用了「硃紅」。	"[""例句中使用了“朱红”。"",""例句中使用了「硃紅」。""]"	"[""chinese"",""simplified-traditional"",""tghz2013"",""level-1"",""bidirectional"",""one-context-sentence"",""hant-to-hans""]"
