official_no	level	simplified	mapping_code	traditional	inherited	simplified_example	traditional_example	example_source	original_example_source	simplified_sentence	traditional_sentence	field_usage	context_kind
17	1	了	17_1	瞭	false	了解	瞭解	lexical-context	manual	我了解这件事。	我瞭解這件事。		lexical-context
159	1	凤	159_1	鳳	false	凤凰	鳳凰	lexical-context	cc-cedict	例句中使用了“凤凰”。	例句中使用了「鳳凰」。		lexical-context
407	1	划	407_1	劃	false	计划	計劃	lexical-context	cc-cedict	例句中使用了“计划”。	例句中使用了「計劃」。		lexical-context
439	1	岂	439_1	豈	false	岂非	豈非	lexical-context	cc-cedict	例句中使用了“岂非”。	例句中使用了「豈非」。		lexical-context
445	1	朱	445_1	硃	false	朱红	硃紅	lexical-context	opencc	例句中使用了“朱红”。	例句中使用了「硃紅」。		lexical-context
514	1	庄	514_1	莊	false	庄严	莊嚴	lexical-context	cc-cedict	例句中使用了“庄严”。	例句中使用了「莊嚴」。		lexical-context
755	1	帐	755_1	帳	false	帐篷	帳篷	lexical-context	cc-cedict	例句中使用了“帐篷”。	例句中使用了「帳篷」。		lexical-context
792	1	彻	792_1	徹	false	彻底	徹底	lexical-context	cc-cedict	彻底	徹底		lexical-context
1207	1	庞	1207_1	龐	false	庞大	龐大	lexical-context	cc-cedict	例句中使用了“庞大”。	例句中使用了「龐大」。		lexical-context
1279	1	审	1279_1	審	false	审议	審議	lexical-context	cc-cedict	例句中使用了“审议”。	例句中使用了「審議」。		lexical-context
1304	1	录	1304_1	録	false	录取	録取	lexical-context	jieba-generated-official-mapping	例句中使用了“录取”。	例句中使用了「録取」。		lexical-context
1709	1	袄	1709_1	襖	false	棉袄	棉襖	lexical-context	cc-cedict	例句中使用了“棉袄”。	例句中使用了「棉襖」。		lexical-context
1781	1	捞	1781_1	撈	false	捕捞	捕撈	lexical-context	cc-cedict	例句中使用了“捕捞”。	例句中使用了「捕撈」。		lexical-context
1931	1	钾	1931_1	鉀	false	钾盐	鉀鹽	lexical-context	cc-cedict	例句中使用了“钾盐”。	例句中使用了「鉀鹽」。		lexical-context
2079	1	涤	2079_1	滌	false	洗涤	洗滌	lexical-context	cc-cedict	例句中使用了“洗涤”。	例句中使用了「洗滌」。		lexical-context
2156	1	琐	2156_1	瑣	false	繁琐	繁瑣	lexical-context	cc-cedict	例句中使用了“繁琐”。	例句中使用了「繁瑣」。		lexical-context
2264	1	悬	2264_1	懸	false	悬挂	懸掛	lexical-context	cc-cedict	例句中使用了“悬挂”。	例句中使用了「懸掛」。		lexical-context
2493	1	绵	2493_1	綿	false	绵延	綿延	lexical-context	cc-cedict	例句中使用了“绵延”。	例句中使用了「綿延」。		lexical-context
3045	1	缝	3045_1	縫	false	缝隙	縫隙	lexical-context	cc-cedict	例句中使用了“缝隙”。	例句中使用了「縫隙」。		lexical-context
3104	1	踊	3104_1	踴	false	踊跃	踴躍	lexical-context	cc-cedict	例句中使用了“踊跃”。	例句中使用了「踴躍」。		lexical-context
