deck	direction	front	back	source_chapter	entry_type	notes
Chapter 6-10	English -> Chinese	Meaning: have	Characters: 有\nPinyin: yǒu\nZhuyin: ㄧㄡˇ	6	function word	Core review entry.
Chapter 6-10	Chinese -> English	Characters: 有	Meaning: have\nPinyin: yǒu\nZhuyin: ㄧㄡˇ	6	function word	Core review entry.
Chapter 6-10	Pinyin -> Chinese	Pinyin: yǒu\nZhuyin: ㄧㄡˇ	Meaning: have\nCharacters: 有	6	function word	Core review entry.
Chapter 6-10	English -> Chinese	Meaning: bag	Characters: 包\nPinyin: bāo\nZhuyin: ㄅㄠ	6	vocabulary	Core review entry.
Chapter 6-10	Chinese -> English	Characters: 包	Meaning: bag\nPinyin: bāo\nZhuyin: ㄅㄠ	6	vocabulary	Core review entry.
Chapter 6-10	Pinyin -> Chinese	Pinyin: bāo\nZhuyin: ㄅㄠ	Meaning: bag\nCharacters: 包	6	vocabulary	Core review entry.
Chapter 6-10	English -> Chinese	Meaning: phone	Characters: 手機\nPinyin: shǒujī\nZhuyin: ㄕㄡˇ ㄐㄧ	6	vocabulary	Core review entry.
Chapter 6-10	Chinese -> English	Characters: 手機	Meaning: phone\nPinyin: shǒujī\nZhuyin: ㄕㄡˇ ㄐㄧ	6	vocabulary	Core review entry.
Chapter 6-10	Pinyin -> Chinese	Pinyin: shǒujī\nZhuyin: ㄕㄡˇ ㄐㄧ	Meaning: phone\nCharacters: 手機	6	vocabulary	Core review entry.
Chapter 6-10	English -> Chinese	Meaning: key	Characters: 鑰匙\nPinyin: yàoshi\nZhuyin: ㄧㄠˋ ˙ㄕ	6	vocabulary	Core review entry.
Chapter 6-10	Chinese -> English	Characters: 鑰匙	Meaning: key\nPinyin: yàoshi\nZhuyin: ㄧㄠˋ ˙ㄕ	6	vocabulary	Core review entry.
Chapter 6-10	Pinyin -> Chinese	Pinyin: yàoshi\nZhuyin: ㄧㄠˋ ˙ㄕ	Meaning: key\nCharacters: 鑰匙	6	vocabulary	Core review entry.
Chapter 6-10	English -> Chinese	Meaning: question particle	Characters: 嗎\nPinyin: ma\nZhuyin: ˙ㄇㄚ	7	function word	Core review entry.
Chapter 6-10	Chinese -> English	Characters: 嗎	Meaning: question particle\nPinyin: ma\nZhuyin: ˙ㄇㄚ	7	function word	Core review entry.
Chapter 6-10	Pinyin -> Chinese	Pinyin: ma\nZhuyin: ˙ㄇㄚ	Meaning: question particle\nCharacters: 嗎	7	function word	Core review entry.
Chapter 6-10	English -> Chinese	Meaning: do not have	Characters: 沒有\nPinyin: méiyǒu\nZhuyin: ㄇㄟˊ ㄧㄡˇ	7	vocabulary	Core review entry.
Chapter 6-10	Chinese -> English	Characters: 沒有	Meaning: do not have\nPinyin: méiyǒu\nZhuyin: ㄇㄟˊ ㄧㄡˇ	7	vocabulary	Core review entry.
Chapter 6-10	Pinyin -> Chinese	Pinyin: méiyǒu\nZhuyin: ㄇㄟˊ ㄧㄡˇ	Meaning: do not have\nCharacters: 沒有	7	vocabulary	Core review entry.
Chapter 6-10	English -> Chinese	Meaning: computer	Characters: 電腦\nPinyin: diànnǎo\nZhuyin: ㄉㄧㄢˋ ㄋㄠˇ	7	vocabulary	Core review entry.
Chapter 6-10	Chinese -> English	Characters: 電腦	Meaning: computer\nPinyin: diànnǎo\nZhuyin: ㄉㄧㄢˋ ㄋㄠˇ	7	vocabulary	Core review entry.
Chapter 6-10	Pinyin -> Chinese	Pinyin: diànnǎo\nZhuyin: ㄉㄧㄢˋ ㄋㄠˇ	Meaning: computer\nCharacters: 電腦	7	vocabulary	Core review entry.
Chapter 6-10	English -> Chinese	Meaning: notebook	Characters: 本子\nPinyin: běnzi\nZhuyin: ㄅㄣˇ ˙ㄗ	7	vocabulary	Core review entry.
Chapter 6-10	Chinese -> English	Characters: 本子	Meaning: notebook\nPinyin: běnzi\nZhuyin: ㄅㄣˇ ˙ㄗ	7	vocabulary	Core review entry.
Chapter 6-10	Pinyin -> Chinese	Pinyin: běnzi\nZhuyin: ㄅㄣˇ ˙ㄗ	Meaning: notebook\nCharacters: 本子	7	vocabulary	Core review entry.
Chapter 6-10	English -> Chinese	Meaning: want	Characters: 想要\nPinyin: xiǎng yào\nZhuyin: ㄒㄧㄤˇ ㄧㄠˋ	8	function word	Core review entry.
Chapter 6-10	Chinese -> English	Characters: 想要	Meaning: want\nPinyin: xiǎng yào\nZhuyin: ㄒㄧㄤˇ ㄧㄠˋ	8	function word	Core review entry.
Chapter 6-10	Pinyin -> Chinese	Pinyin: xiǎng yào\nZhuyin: ㄒㄧㄤˇ ㄧㄠˋ	Meaning: want\nCharacters: 想要	8	function word	Core review entry.
Chapter 6-10	English -> Chinese	Meaning: food	Characters: 食物\nPinyin: shíwù\nZhuyin: ㄕˊ ㄨˋ	8	vocabulary	Core review entry.
Chapter 6-10	Chinese -> English	Characters: 食物	Meaning: food\nPinyin: shíwù\nZhuyin: ㄕˊ ㄨˋ	8	vocabulary	Core review entry.
Chapter 6-10	Pinyin -> Chinese	Pinyin: shíwù\nZhuyin: ㄕˊ ㄨˋ	Meaning: food\nCharacters: 食物	8	vocabulary	Core review entry.
