card_id	deck	kind	source_chapter	prompt_language	answer_language	prompt	accepted_answers	distractors	explanation	lexical_ids	grammar_ids	geographic_ids	provenance_path	provenance_locator	provenance_evidence	examples	tags
nl-core-review-021-025/nl-pronoun-wie-interrogative/target-to-source	Chapter 21-25	vocabulary	21	nl	en	wie	["who"]	[]	wie reviews the canonical who sense first introduced in Chapter 21.	["nl.pronoun.wie","nl.pronoun.wie.interrogative"]	[]	[]	units/dutch-core/chapter-021-meeting-the-family/chapter.md	Dialogue > line 1	Dag Sophie! Wie is dat?	["Dag Sophie! Wie is dat?","En wie is dat?"]	["dutch","review-deck","chapter-021-025","vocabulary","target-to-source"]
nl-core-review-021-025/nl-pronoun-wie-interrogative/source-to-target	Chapter 21-25	vocabulary	21	en	nl	who	["wie"]	[]	who reviews the canonical who sense first introduced in Chapter 21.	["nl.pronoun.wie","nl.pronoun.wie.interrogative"]	[]	[]	units/dutch-core/chapter-021-meeting-the-family/chapter.md	Dialogue > line 1	Dag Sophie! Wie is dat?	["Dag Sophie! Wie is dat?","En wie is dat?"]	["dutch","review-deck","chapter-021-025","vocabulary","source-to-target"]
nl-core-review-021-025/nl-pronoun-dat-demonstrative/target-to-source	Chapter 21-25	vocabulary	21	nl	en	dat	["that"]	[]	dat reviews the canonical that sense first introduced in Chapter 21.	["nl.pronoun.dat","nl.pronoun.dat.demonstrative"]	[]	[]	units/dutch-core/chapter-021-meeting-the-family/chapter.md	Dialogue > line 1	Dag Sophie! Wie is dat?	["Dag Sophie! Wie is dat?","Dat is Eva, mijn moeder.","En wie is dat?"]	["dutch","review-deck","chapter-021-025","vocabulary","target-to-source"]
nl-core-review-021-025/nl-pronoun-dat-demonstrative/source-to-target	Chapter 21-25	vocabulary	21	en	nl	that	["dat"]	[]	that reviews the canonical that sense first introduced in Chapter 21.	["nl.pronoun.dat","nl.pronoun.dat.demonstrative"]	[]	[]	units/dutch-core/chapter-021-meeting-the-family/chapter.md	Dialogue > line 1	Dag Sophie! Wie is dat?	["Dag Sophie! Wie is dat?","Dat is Eva, mijn moeder.","En wie is dat?"]	["dutch","review-deck","chapter-021-025","vocabulary","source-to-target"]
nl-core-review-021-025/nl-noun-moeder-parent/target-to-source	Chapter 21-25	vocabulary	21	nl	en	de moeder	["mother"]	[]	de moeder reviews the canonical mother sense first introduced in Chapter 21.	["nl.noun.moeder","nl.noun.moeder.parent"]	[]	[]	units/dutch-core/chapter-021-meeting-the-family/chapter.md	Dialogue > line 2	Dat is Eva, mijn moeder.	["Dat is Eva, mijn moeder."]	["dutch","review-deck","chapter-021-025","vocabulary","target-to-source"]
nl-core-review-021-025/nl-noun-moeder-parent/source-to-target	Chapter 21-25	vocabulary	21	en	nl	mother	["de moeder"]	[]	mother reviews the canonical mother sense first introduced in Chapter 21.	["nl.noun.moeder","nl.noun.moeder.parent"]	[]	[]	units/dutch-core/chapter-021-meeting-the-family/chapter.md	Dialogue > line 2	Dat is Eva, mijn moeder.	["Dat is Eva, mijn moeder."]	["dutch","review-deck","chapter-021-025","vocabulary","source-to-target"]
nl-core-review-021-025/nl-preposition-van-relationship/target-to-source	Chapter 21-25	vocabulary	21	nl	en	van	["of"]	[]	van reviews the canonical of sense first introduced in Chapter 21.	["nl.preposition.van","nl.preposition.van.relationship"]	[]	[]	units/dutch-core/chapter-021-meeting-the-family/chapter.md	Dialogue > line 5	Hallo Alex. Noor is de nicht van Sophie en Daan.	["Hallo Alex. Noor is de nicht van Sophie en Daan."]	["dutch","review-deck","chapter-021-025","vocabulary","target-to-source"]
nl-core-review-021-025/nl-preposition-van-relationship/source-to-target	Chapter 21-25	vocabulary	21	en	nl	of	["van"]	[]	of reviews the canonical of sense first introduced in Chapter 21.	["nl.preposition.van","nl.preposition.van.relationship"]	[]	[]	units/dutch-core/chapter-021-meeting-the-family/chapter.md	Dialogue > line 5	Hallo Alex. Noor is de nicht van Sophie en Daan.	["Hallo Alex. Noor is de nicht van Sophie en Daan."]	["dutch","review-deck","chapter-021-025","vocabulary","source-to-target"]
nl-core-review-021-025/nl-noun-oma-grandmother/target-to-source	Chapter 21-25	vocabulary	21	nl	en	de oma	["grandmother"]	[]	de oma reviews the canonical grandmother sense first introduced in Chapter 21.	["nl.noun.oma","nl.noun.oma.grandmother"]	[]	[]	units/dutch-core/chapter-021-meeting-the-family/chapter.md	Dialogue > line 4	Dat is Anja, mijn oma.	["Dat is Anja, mijn oma."]	["dutch","review-deck","chapter-021-025","vocabulary","target-to-source"]
nl-core-review-021-025/nl-noun-oma-grandmother/source-to-target	Chapter 21-25	vocabulary	21	en	nl	grandmother	["de oma"]	[]	grandmother reviews the canonical grandmother sense first introduced in Chapter 21.	["nl.noun.oma","nl.noun.oma.grandmother"]	[]	[]	units/dutch-core/chapter-021-meeting-the-family/chapter.md	Dialogue > line 4	Dat is Anja, mijn oma.	["Dat is Anja, mijn oma."]	["dutch","review-deck","chapter-021-025","vocabulary","source-to-target"]
nl-core-review-021-025/nl-noun-nicht-female-relative/target-to-source	Chapter 21-25	vocabulary	21	nl	en	de nicht	["female cousin","niece"]	[]	de nicht reviews the canonical female cousin; niece sense first introduced in Chapter 21.	["nl.noun.nicht","nl.noun.nicht.female-relative"]	[]	[]	units/dutch-core/chapter-021-meeting-the-family/chapter.md	Dialogue > line 5	Hallo Alex. Noor is de nicht van Sophie en Daan.	["Hallo Alex. Noor is de nicht van Sophie en Daan."]	["dutch","review-deck","chapter-021-025","vocabulary","target-to-source"]
nl-core-review-021-025/nl-noun-nicht-female-relative/source-to-target	Chapter 21-25	vocabulary	21	en	nl	female cousin; niece	["de nicht"]	[]	female cousin; niece reviews the canonical female cousin; niece sense first introduced in Chapter 21.	["nl.noun.nicht","nl.noun.nicht.female-relative"]	[]	[]	units/dutch-core/chapter-021-meeting-the-family/chapter.md	Dialogue > line 5	Hallo Alex. Noor is de nicht van Sophie en Daan.	["Hallo Alex. Noor is de nicht van Sophie en Daan."]	["dutch","review-deck","chapter-021-025","vocabulary","source-to-target"]
nl-core-review-021-025/nl-verb-bezoeken-visit/target-to-source	Chapter 21-25	vocabulary	21	nl	en	bezoeken	["visits"]	[]	bezoeken reviews the canonical lexical sense first introduced in Chapter 21.	["nl.verb.bezoeken","nl.verb.bezoeken.visit"]	[]	[]	units/dutch-core/chapter-021-meeting-the-family/chapter.md	Dialogue > line 6	Oma Anja bezoekt ons vandaag.	["Oma Anja bezoekt ons vandaag."]	["dutch","review-deck","chapter-021-025","vocabulary","target-to-source"]
nl-core-review-021-025/nl-verb-bezoeken-visit/source-to-target	Chapter 21-25	vocabulary	21	en	nl	visits	["bezoeken"]	[]	bezoeken reviews the canonical lexical sense first introduced in Chapter 21.	["nl.verb.bezoeken","nl.verb.bezoeken.visit"]	[]	[]	units/dutch-core/chapter-021-meeting-the-family/chapter.md	Dialogue > line 6	Oma Anja bezoekt ons vandaag.	["Oma Anja bezoekt ons vandaag."]	["dutch","review-deck","chapter-021-025","vocabulary","source-to-target"]
nl-core-review-021-025/nl-adverb-vandaag-today/target-to-source	Chapter 21-25	vocabulary	21	nl	en	vandaag	["today"]	[]	vandaag reviews the canonical today sense first introduced in Chapter 21.	["nl.adverb.vandaag","nl.adverb.vandaag.today"]	[]	[]	units/dutch-core/chapter-021-meeting-the-family/chapter.md	Dialogue > line 6	Oma Anja bezoekt ons vandaag.	["Oma Anja bezoekt ons vandaag.","Ja, ik blijf vandaag."]	["dutch","review-deck","chapter-021-025","vocabulary","target-to-source"]
nl-core-review-021-025/nl-adverb-vandaag-today/source-to-target	Chapter 21-25	vocabulary	21	en	nl	today	["vandaag"]	[]	today reviews the canonical today sense first introduced in Chapter 21.	["nl.adverb.vandaag","nl.adverb.vandaag.today"]	[]	[]	units/dutch-core/chapter-021-meeting-the-family/chapter.md	Dialogue > line 6	Oma Anja bezoekt ons vandaag.	["Oma Anja bezoekt ons vandaag.","Ja, ik blijf vandaag."]	["dutch","review-deck","chapter-021-025","vocabulary","source-to-target"]
nl-core-review-021-025/nl-interjection-welkom-greeting/target-to-source	Chapter 21-25	vocabulary	21	nl	en	welkom	["welcome"]	[]	welkom reviews the canonical welcome sense first introduced in Chapter 21.	["nl.interjection.welkom","nl.interjection.welkom.greeting"]	[]	[]	units/dutch-core/chapter-021-meeting-the-family/chapter.md	Dialogue > line 8	Welkom, Oma Anja!	["Welkom, Oma Anja!"]	["dutch","review-deck","chapter-021-025","vocabulary","target-to-source"]
nl-core-review-021-025/nl-interjection-welkom-greeting/source-to-target	Chapter 21-25	vocabulary	21	en	nl	welcome	["welkom"]	[]	welcome reviews the canonical welcome sense first introduced in Chapter 21.	["nl.interjection.welkom","nl.interjection.welkom.greeting"]	[]	[]	units/dutch-core/chapter-021-meeting-the-family/chapter.md	Dialogue > line 8	Welkom, Oma Anja!	["Welkom, Oma Anja!"]	["dutch","review-deck","chapter-021-025","vocabulary","source-to-target"]
nl-core-review-021-025/nl-adverb-hier-location/target-to-source	Chapter 21-25	vocabulary	22	nl	en	hier	["here"]	[]	hier reviews the canonical here sense first introduced in Chapter 22.	["nl.adverb.hier","nl.adverb.hier.location"]	[]	[]	units/dutch-core/chapter-022-an-afternoon-together/chapter.md	Narrative > paragraph 1 > sentence 1	Het is hier gezellig.	["Het is hier gezellig."]	["dutch","review-deck","chapter-021-025","vocabulary","target-to-source"]
nl-core-review-021-025/nl-adverb-hier-location/source-to-target	Chapter 21-25	vocabulary	22	en	nl	here	["hier"]	[]	here reviews the canonical here sense first introduced in Chapter 22.	["nl.adverb.hier","nl.adverb.hier.location"]	[]	[]	units/dutch-core/chapter-022-an-afternoon-together/chapter.md	Narrative > paragraph 1 > sentence 1	Het is hier gezellig.	["Het is hier gezellig."]	["dutch","review-deck","chapter-021-025","vocabulary","source-to-target"]
nl-core-review-021-025/nl-adjective-gezellig-pleasant/target-to-source	Chapter 21-25	vocabulary	22	nl	en	gezellig	["pleasant","cozy"]	[]	gezellig reviews the canonical pleasant; cozy sense first introduced in Chapter 22.	["nl.adjective.gezellig","nl.adjective.gezellig.pleasant"]	[]	[]	units/dutch-core/chapter-022-an-afternoon-together/chapter.md	Narrative > paragraph 1 > sentence 1	Het is hier gezellig.	["Het is hier gezellig."]	["dutch","review-deck","chapter-021-025","vocabulary","target-to-source"]
nl-core-review-021-025/nl-adjective-gezellig-pleasant/source-to-target	Chapter 21-25	vocabulary	22	en	nl	pleasant; cozy	["gezellig"]	[]	pleasant; cozy reviews the canonical pleasant; cozy sense first introduced in Chapter 22.	["nl.adjective.gezellig","nl.adjective.gezellig.pleasant"]	[]	[]	units/dutch-core/chapter-022-an-afternoon-together/chapter.md	Narrative > paragraph 1 > sentence 1	Het is hier gezellig.	["Het is hier gezellig."]	["dutch","review-deck","chapter-021-025","vocabulary","source-to-target"]
nl-core-review-021-025/nl-adjective-oud-age/target-to-source	Chapter 21-25	vocabulary	22	nl	en	oud	["old"]	[]	oud reviews the canonical old sense first introduced in Chapter 22.	["nl.adjective.oud","nl.adjective.oud.age"]	[]	[]	units/dutch-core/chapter-022-an-afternoon-together/chapter.md	Narrative > paragraph 1 > sentence 2	Oma Anja is oud, maar zij is blij.	["Oma Anja is oud, maar zij is blij."]	["dutch","review-deck","chapter-021-025","vocabulary","target-to-source"]
nl-core-review-021-025/nl-adjective-oud-age/source-to-target	Chapter 21-25	vocabulary	22	en	nl	old	["oud"]	[]	old reviews the canonical old sense first introduced in Chapter 22.	["nl.adjective.oud","nl.adjective.oud.age"]	[]	[]	units/dutch-core/chapter-022-an-afternoon-together/chapter.md	Narrative > paragraph 1 > sentence 2	Oma Anja is oud, maar zij is blij.	["Oma Anja is oud, maar zij is blij."]	["dutch","review-deck","chapter-021-025","vocabulary","source-to-target"]
nl-core-review-021-025/nl-adjective-blij-happy/target-to-source	Chapter 21-25	vocabulary	22	nl	en	blij	["happy"]	[]	blij reviews the canonical happy sense first introduced in Chapter 22.	["nl.adjective.blij","nl.adjective.blij.happy"]	[]	[]	units/dutch-core/chapter-022-an-afternoon-together/chapter.md	Narrative > paragraph 1 > sentence 2	Oma Anja is oud, maar zij is blij.	["Oma Anja is oud, maar zij is blij."]	["dutch","review-deck","chapter-021-025","vocabulary","target-to-source"]
