card_id	deck	kind	source_chapter	prompt_language	answer_language	prompt	accepted_answers	distractors	explanation	lexical_ids	grammar_ids	geographic_ids	provenance_path	provenance_locator	provenance_evidence	examples	tags
ja-prefecture/01/reading	Prefectures - 漢字	vocabulary	1	ja	ja-Kana	北海道	"[""ほっかいどう\n\n![Highlighted prefecture](media/01.png)""]"	[]		"[""ja.prefecture.01""]"	[]	[]	sources/prefectures.tsv	Prefecture 01	北海道 = ほっかいどう	[]	"[""japanese"", ""prefectures"", ""reading""]"
ja-prefecture/01/kanji	Prefectures - 漢字	vocabulary	1	ja-Kana	ja	ほっかいどう	"[""北海道\n\n![Highlighted prefecture](media/01.png)""]"	[]		"[""ja.prefecture.01""]"	[]	[]	sources/prefectures.tsv	Prefecture 01	北海道 = ほっかいどう	[]	"[""japanese"", ""prefectures"", ""kanji""]"
ja-prefecture/02/reading	Prefectures - 漢字	vocabulary	2	ja	ja-Kana	青森県	"[""あおもりけん\n\n![Highlighted prefecture](media/02.png)""]"	[]		"[""ja.prefecture.02""]"	[]	[]	sources/prefectures.tsv	Prefecture 02	青森県 = あおもりけん	[]	"[""japanese"", ""prefectures"", ""reading""]"
ja-prefecture/02/kanji	Prefectures - 漢字	vocabulary	2	ja-Kana	ja	あおもりけん	"[""青森県\n\n![Highlighted prefecture](media/02.png)""]"	[]		"[""ja.prefecture.02""]"	[]	[]	sources/prefectures.tsv	Prefecture 02	青森県 = あおもりけん	[]	"[""japanese"", ""prefectures"", ""kanji""]"
ja-prefecture/03/reading	Prefectures - 漢字	vocabulary	3	ja	ja-Kana	岩手県	"[""いわてけん\n\n![Highlighted prefecture](media/03.png)""]"	[]		"[""ja.prefecture.03""]"	[]	[]	sources/prefectures.tsv	Prefecture 03	岩手県 = いわてけん	[]	"[""japanese"", ""prefectures"", ""reading""]"
ja-prefecture/03/kanji	Prefectures - 漢字	vocabulary	3	ja-Kana	ja	いわてけん	"[""岩手県\n\n![Highlighted prefecture](media/03.png)""]"	[]		"[""ja.prefecture.03""]"	[]	[]	sources/prefectures.tsv	Prefecture 03	岩手県 = いわてけん	[]	"[""japanese"", ""prefectures"", ""kanji""]"
ja-prefecture/04/reading	Prefectures - 漢字	vocabulary	4	ja	ja-Kana	宮城県	"[""みやぎけん\n\n![Highlighted prefecture](media/04.png)""]"	[]		"[""ja.prefecture.04""]"	[]	[]	sources/prefectures.tsv	Prefecture 04	宮城県 = みやぎけん	[]	"[""japanese"", ""prefectures"", ""reading""]"
ja-prefecture/04/kanji	Prefectures - 漢字	vocabulary	4	ja-Kana	ja	みやぎけん	"[""宮城県\n\n![Highlighted prefecture](media/04.png)""]"	[]		"[""ja.prefecture.04""]"	[]	[]	sources/prefectures.tsv	Prefecture 04	宮城県 = みやぎけん	[]	"[""japanese"", ""prefectures"", ""kanji""]"
ja-prefecture/05/reading	Prefectures - 漢字	vocabulary	5	ja	ja-Kana	秋田県	"[""あきたけん\n\n![Highlighted prefecture](media/05.png)""]"	[]		"[""ja.prefecture.05""]"	[]	[]	sources/prefectures.tsv	Prefecture 05	秋田県 = あきたけん	[]	"[""japanese"", ""prefectures"", ""reading""]"
ja-prefecture/05/kanji	Prefectures - 漢字	vocabulary	5	ja-Kana	ja	あきたけん	"[""秋田県\n\n![Highlighted prefecture](media/05.png)""]"	[]		"[""ja.prefecture.05""]"	[]	[]	sources/prefectures.tsv	Prefecture 05	秋田県 = あきたけん	[]	"[""japanese"", ""prefectures"", ""kanji""]"
