deck	direction	front	back	front_zh_tw	back_zh_tw	front_en	back_en	source_chapter	entry_type	notes_zh_tw	notes_en
第 1–5 章 / Chapter 1-5	English Target -> Chinese (Taiwan)	hello			你好；哈囉		greeting	1	vocabulary	常用問候語。	Common greeting.
第 1–5 章 / Chapter 1-5	Chinese (Taiwan) -> English Target		hello	你好；哈囉		greeting		1	vocabulary	常用問候語。	Common greeting.
第 1–5 章 / Chapter 1-5	English Target -> Chinese (Taiwan)	I			我		the speaker	1	function word	第一人稱代名詞。	First-person pronoun.
第 1–5 章 / Chapter 1-5	Chinese (Taiwan) -> English Target		I	我		the speaker		1	function word	第一人稱代名詞。	First-person pronoun.
第 1–5 章 / Chapter 1-5	English Target -> Chinese (Taiwan)	am			是；處於……狀態		be-form with I	1	function word	和 I 搭配的 be 動詞形式。	Be-form used with I.
第 1–5 章 / Chapter 1-5	Chinese (Taiwan) -> English Target		am	是；處於……狀態		be-form with I		1	function word	和 I 搭配的 be 動詞形式。	Be-form used with I.
第 1–5 章 / Chapter 1-5	English Target -> Chinese (Taiwan)	student			學生		learner in school	1	vocabulary	名詞。	Noun.
第 1–5 章 / Chapter 1-5	Chinese (Taiwan) -> English Target		student	學生		learner in school		1	vocabulary	名詞。	Noun.
第 1–5 章 / Chapter 1-5	English Target -> Chinese (Taiwan)	teacher			老師		person who teaches	1	vocabulary	名詞。	Noun.
第 1–5 章 / Chapter 1-5	Chinese (Taiwan) -> English Target		teacher	老師		person who teaches		1	vocabulary	名詞。	Noun.
第 1–5 章 / Chapter 1-5	English Target -> Chinese (Taiwan)	my			我的		belonging to me	2	function word	所有格限定詞。	Possessive determiner.
第 1–5 章 / Chapter 1-5	Chinese (Taiwan) -> English Target		my	我的		belonging to me		2	function word	所有格限定詞。	Possessive determiner.
第 1–5 章 / Chapter 1-5	English Target -> Chinese (Taiwan)	name			名字		what someone is called	2	vocabulary	名詞。	Noun.
第 1–5 章 / Chapter 1-5	Chinese (Taiwan) -> English Target		name	名字		what someone is called		2	vocabulary	名詞。	Noun.
第 1–5 章 / Chapter 1-5	English Target -> Chinese (Taiwan)	is			是；處於……狀態		be-form with a singular subject	2	function word	單數主詞使用的 be 動詞形式。	Be-form used with a singular subject.
第 1–5 章 / Chapter 1-5	Chinese (Taiwan) -> English Target		is	是；處於……狀態		be-form with a singular subject		2	function word	單數主詞使用的 be 動詞形式。	Be-form used with a singular subject.
第 1–5 章 / Chapter 1-5	English Target -> Chinese (Taiwan)	this			這個；這位		nearby person or thing	2	function word	指示詞。	Demonstrative word.
第 1–5 章 / Chapter 1-5	Chinese (Taiwan) -> English Target		this	這個；這位		nearby person or thing		2	function word	指示詞。	Demonstrative word.
第 1–5 章 / Chapter 1-5	English Target -> Chinese (Taiwan)	what			什麼		asks for information	3	function word	疑問詞。	Question word.
第 1–5 章 / Chapter 1-5	Chinese (Taiwan) -> English Target		what	什麼		asks for information		3	function word	疑問詞。	Question word.
第 1–5 章 / Chapter 1-5	English Target -> Chinese (Taiwan)	your			你的；您的		belonging to you	3	function word	所有格限定詞。	Possessive determiner.
第 1–5 章 / Chapter 1-5	Chinese (Taiwan) -> English Target		your	你的；您的		belonging to you		3	function word	所有格限定詞。	Possessive determiner.
第 1–5 章 / Chapter 1-5	English Target -> Chinese (Taiwan)	you			你；您		the person spoken to	3	function word	代名詞。	Pronoun.
第 1–5 章 / Chapter 1-5	Chinese (Taiwan) -> English Target		you	你；您		the person spoken to		3	function word	代名詞。	Pronoun.
第 1–5 章 / Chapter 1-5	English Target -> Chinese (Taiwan)	yes			是；對		positive answer	3	vocabulary	肯定回答。	Positive answer.
第 1–5 章 / Chapter 1-5	Chinese (Taiwan) -> English Target		yes	是；對		positive answer		3	vocabulary	肯定回答。	Positive answer.
第 1–5 章 / Chapter 1-5	English Target -> Chinese (Taiwan)	book			書		bound pages to read	4	vocabulary	名詞。	Noun.
第 1–5 章 / Chapter 1-5	Chinese (Taiwan) -> English Target		book	書		bound pages to read		4	vocabulary	名詞。	Noun.
第 1–5 章 / Chapter 1-5	English Target -> Chinese (Taiwan)	pen			筆		writing tool	4	vocabulary	名詞。	Noun.
第 1–5 章 / Chapter 1-5	Chinese (Taiwan) -> English Target		pen	筆		writing tool		4	vocabulary	名詞。	Noun.
第 1–5 章 / Chapter 1-5	English Target -> Chinese (Taiwan)	school			學校		place for learning	4	vocabulary	名詞。	Noun.
第 1–5 章 / Chapter 1-5	Chinese (Taiwan) -> English Target		school	學校		place for learning		4	vocabulary	名詞。	Noun.
第 1–5 章 / Chapter 1-5	English Target -> Chinese (Taiwan)	how			如何；怎麼樣		asks about condition	5	function word	疑問詞。	Question word.
第 1–5 章 / Chapter 1-5	Chinese (Taiwan) -> English Target		how	如何；怎麼樣		asks about condition		5	function word	疑問詞。	Question word.
第 1–5 章 / Chapter 1-5	English Target -> Chinese (Taiwan)	fine			很好；平安		well; okay	5	vocabulary	形容詞。	Adjective.
第 1–5 章 / Chapter 1-5	Chinese (Taiwan) -> English Target		fine	很好；平安		well; okay		5	vocabulary	形容詞。	Adjective.
第 1–5 章 / Chapter 1-5	English Target -> Chinese (Taiwan)	question			問題；問句		something asked	5	vocabulary	名詞。	Noun.
第 1–5 章 / Chapter 1-5	Chinese (Taiwan) -> English Target		question	問題；問句		something asked		5	vocabulary	名詞。	Noun.
