simplified	traditional_in_level_3	prior_level	traditional_in_prior_level	prior_level_order	first_level_3_mapping
一个	一個	Level I	一個	5	6509_1
词语	詞語	Level II	詞語	37	6509_1
古文	古文	Level II	古文	857	6520_1
可见	可見	Level II	可見	769	6520_1
这种	這種	Level I	這種	230	6536_1
含有	含有	Level I	含有	1655	6536_1
人名	人名	Level II	人名	18	6546_1
地方	地方	Level I	地方	627	6547_1
记载	記載	Level I	記載	1892	6547_1
古代	古代	Level I	古代	378	6553_1
织物	織物	Level II	織物	1010	6553_1
记录	記錄	Level I	記錄	2280	6553_1
出现	出現	Level I	出現	1410	6553_1
工匠	工匠	Level I	工匠	1677	6554_1
玉器	玉器	Level II	玉器	70	6558_1
成语	成語	Level II	成語	59	6559_1
固定	固定	Level II	固定	60	6559_1
说法	說法	Level I	說法	1128	6559_1
地名	地名	Level II	地名	101	6561_1
草书	草書	Level II	草書	391	6576_1
植物	植物	Level I	植物	1198	6582_1
车辆	車輛	Level I	車輛	1638	6585_1
神魂	神魂	Level I	神魂	2757	6607_1
建筑	建築	Level I	建築	1008	6609_1
军队	軍隊	Level I	軍隊	205	6624_1
举行	舉行	Level I	舉行	1815	6624_1
正在	正在	Level I	正在	24	6630_1
使者	使者	Level II	使者	1013	6639_1
古籍	古籍	Level II	古籍	1136	6640_1
描述	描述	Level II	描述	1137	6640_1
描写	描寫	Level I	描寫	371	6671_1
光线	光線	Level I	光線	1739	6671_1
天气	天氣	Level I	天氣	22	6671_1
金属	金屬	Level I	金屬	1422	6688_1
器物	器物	Level II	器物	103	6688_1
技术	技術	Level I	技術	247	6688_1
资料	資料	Level II	資料	768	6688_1
实验	實驗	Level I	實驗	2469	6689_1
提到	提到	Level II	提到	71	6689_1
食谱	食譜	Level II	食譜	977	6714_1
礼制	禮制	Level II	禮制	1316	6766_1
一种	一種	Level I	一種	184	6827_1
材料	材料	Level I	材料	1560	6827_1
化学	化學	Level I	化學	1584	6827_1
物质	物質	Level I	物質	1320	6827_1
姓氏	姓氏	Level II	姓氏	191	6851_1
史书	史書	Level I	史書	1891	6932_1
侥幸	僥幸	Level I	僥倖	1310	7000_1
厨师	廚師	Level II	廚師	267	7053_1
重新	重新	Level I	重新	2374	7053_1
山谷	山谷	Level I	山谷	2203	7074_1
古人	古人	Level I	古人	2	7095_1
制作	製作	Level II	製作	580	7095_1
医学	醫學	Level II	醫學	359	7119_1
完整	完整	Level I	完整	2442	7144_1
动物	動物	Level I	動物	172	7209_1
众人	眾人	Level I	眾人	1431	7423_1
传统	傳統	Level I	傳統	585	7503_1
饮食	飲食	Level I	飲食	1006	7503_1
台湾	臺灣	Level I	台灣	410	7548_1
已经	已經	Level I	已經	15	7579_1
条约	條約	Level I	條約	772	7625_1
然而	然而	Level I	然而	433	8023_1
