card_id	deck	kind	source_chapter	prompt_language	answer_language	prompt	accepted_answers	distractors	explanation	lexical_ids	grammar_ids	geographic_ids	provenance_path	provenance_locator	provenance_evidence	examples	tags
zh-traditional-radicals/001/a-radical	Radicals	vocabulary	1	zh-Hant	en	一	"[""English: one\nHanyu Pinyin: yī""]"	[]	Strokes: 1	"[""zh.radical.kangxi.001""]"	[]	[]	sources/radicals.tsv	Kangxi radical 1	一: one; Hanyu Pinyin yī; 1 stroke.	[]	"[""chinese"",""traditional"",""radicals"",""kangxi"",""abc""]"
zh-traditional-radicals/002/a-radical	Radicals	vocabulary	2	zh-Hant	en	丨	"[""English: line\nHanyu Pinyin: gǔn""]"	[]	Strokes: 1	"[""zh.radical.kangxi.002""]"	[]	[]	sources/radicals.tsv	Kangxi radical 2	丨: line; Hanyu Pinyin gǔn; 1 stroke.	[]	"[""chinese"",""traditional"",""radicals"",""kangxi"",""abc""]"
zh-traditional-radicals/003/a-radical	Radicals	vocabulary	3	zh-Hant	en	丶	"[""English: dot\nHanyu Pinyin: zhǔ""]"	[]	Strokes: 1	"[""zh.radical.kangxi.003""]"	[]	[]	sources/radicals.tsv	Kangxi radical 3	丶: dot; Hanyu Pinyin zhǔ; 1 stroke.	[]	"[""chinese"",""traditional"",""radicals"",""kangxi"",""abc""]"
zh-traditional-radicals/004/a-radical	Radicals	vocabulary	4	zh-Hant	en	丿	"[""English: slash\nHanyu Pinyin: piě""]"	[]	Strokes: 1	"[""zh.radical.kangxi.004""]"	[]	[]	sources/radicals.tsv	Kangxi radical 4	丿: slash; Hanyu Pinyin piě; 1 stroke.	[]	"[""chinese"",""traditional"",""radicals"",""kangxi"",""abc""]"
zh-traditional-radicals/005/a-radical	Radicals	vocabulary	5	zh-Hant	en	乙	"[""English: second\nHanyu Pinyin: yǐ""]"	[]	Strokes: 1	"[""zh.radical.kangxi.005""]"	[]	[]	sources/radicals.tsv	Kangxi radical 5	乙: second; Hanyu Pinyin yǐ; 1 stroke.	[]	"[""chinese"",""traditional"",""radicals"",""kangxi"",""abc""]"
zh-traditional-radicals/006/a-radical	Radicals	vocabulary	6	zh-Hant	en	亅	"[""English: hook\nHanyu Pinyin: jué""]"	[]	Strokes: 1	"[""zh.radical.kangxi.006""]"	[]	[]	sources/radicals.tsv	Kangxi radical 6	亅: hook; Hanyu Pinyin jué; 1 stroke.	[]	"[""chinese"",""traditional"",""radicals"",""kangxi"",""abc""]"
zh-traditional-radicals/007/a-radical	Radicals	vocabulary	7	zh-Hant	en	二	"[""English: two\nHanyu Pinyin: èr""]"	[]	Strokes: 2	"[""zh.radical.kangxi.007""]"	[]	[]	sources/radicals.tsv	Kangxi radical 7	二: two; Hanyu Pinyin èr; 2 strokes.	[]	"[""chinese"",""traditional"",""radicals"",""kangxi"",""abc""]"
zh-traditional-radicals/008/a-radical	Radicals	vocabulary	8	zh-Hant	en	亠	"[""English: lid\nHanyu Pinyin: tóu""]"	[]	Strokes: 2	"[""zh.radical.kangxi.008""]"	[]	[]	sources/radicals.tsv	Kangxi radical 8	亠: lid; Hanyu Pinyin tóu; 2 strokes.	[]	"[""chinese"",""traditional"",""radicals"",""kangxi"",""abc""]"
zh-traditional-radicals/009/a-radical	Radicals	vocabulary	9	zh-Hant	en	人	"[""English: person\nHanyu Pinyin: rén""]"	[]	"Alternative forms: 亻
Strokes: 2"	"[""zh.radical.kangxi.009""]"	[]	[]	sources/radicals.tsv	Kangxi radical 9	人: person; Hanyu Pinyin rén; alternative forms 亻; 2 strokes.	[]	"[""chinese"",""traditional"",""radicals"",""kangxi"",""abc""]"
zh-traditional-radicals/010/a-radical	Radicals	vocabulary	10	zh-Hant	en	儿	"[""English: legs\nHanyu Pinyin: ér""]"	[]	Strokes: 2	"[""zh.radical.kangxi.010""]"	[]	[]	sources/radicals.tsv	Kangxi radical 10	儿: legs; Hanyu Pinyin ér; 2 strokes.	[]	"[""chinese"",""traditional"",""radicals"",""kangxi"",""abc""]"
