card_id	deck	kind	source_chapter	prompt_language	answer_language	prompt	accepted_answers	distractors	explanation	lexical_ids	grammar_ids	geographic_ids	provenance_path	provenance_locator	provenance_evidence	examples	tags
zh-simplified-radicals/001/a-radical	Radicals	vocabulary	1	zh-Hans	en	一	"[""English: one\nHanyu Pinyin: yī""]"	[]	Strokes: 1	"[""zh.radical.gf0011.001""]"	[]	[]	sources/radicals.tsv	GF 0011-2009 principal radical 1	一: one; Hanyu Pinyin yī; 1 stroke.	[]	"[""chinese"",""simplified"",""radicals"",""gf-0011-2009"",""abc""]"
zh-simplified-radicals/002/a-radical	Radicals	vocabulary	2	zh-Hans	en	丨	"[""English: line\nHanyu Pinyin: gǔn""]"	[]	"Alternative forms: 亅
Strokes: 1"	"[""zh.radical.gf0011.002""]"	[]	[]	sources/radicals.tsv	GF 0011-2009 principal radical 2	丨: line; Hanyu Pinyin gǔn; attached forms 亅; 1 stroke.	[]	"[""chinese"",""simplified"",""radicals"",""gf-0011-2009"",""abc""]"
zh-simplified-radicals/003/a-radical	Radicals	vocabulary	3	zh-Hans	en	丿	"[""English: slash\nHanyu Pinyin: piě""]"	[]	Strokes: 1	"[""zh.radical.gf0011.003""]"	[]	[]	sources/radicals.tsv	GF 0011-2009 principal radical 3	丿: slash; Hanyu Pinyin piě; 1 stroke.	[]	"[""chinese"",""simplified"",""radicals"",""gf-0011-2009"",""abc""]"
zh-simplified-radicals/004/a-radical	Radicals	vocabulary	4	zh-Hans	en	丶	"[""English: dot\nHanyu Pinyin: zhǔ""]"	[]	Strokes: 1	"[""zh.radical.gf0011.004""]"	[]	[]	sources/radicals.tsv	GF 0011-2009 principal radical 4	丶: dot; Hanyu Pinyin zhǔ; 1 stroke.	[]	"[""chinese"",""simplified"",""radicals"",""gf-0011-2009"",""abc""]"
zh-simplified-radicals/005/a-radical	Radicals	vocabulary	5	zh-Hans	en	乛	"[""English: fold\nHanyu Pinyin: zhé""]"	[]	"Alternative forms: ㇆、⺄、乚、乙
Strokes: 1"	"[""zh.radical.gf0011.005""]"	[]	[]	sources/radicals.tsv	GF 0011-2009 principal radical 5	乛: fold; Hanyu Pinyin zhé; attached forms ㇆、⺄、乚、乙; 1 stroke.	[]	"[""chinese"",""simplified"",""radicals"",""gf-0011-2009"",""abc""]"
zh-simplified-radicals/006/a-radical	Radicals	vocabulary	6	zh-Hans	en	十	"[""English: ten\nHanyu Pinyin: shí""]"	[]	Strokes: 2	"[""zh.radical.gf0011.006""]"	[]	[]	sources/radicals.tsv	GF 0011-2009 principal radical 6	十: ten; Hanyu Pinyin shí; 2 strokes.	[]	"[""chinese"",""simplified"",""radicals"",""gf-0011-2009"",""abc""]"
zh-simplified-radicals/007/a-radical	Radicals	vocabulary	7	zh-Hans	en	厂	"[""English: cliff\nHanyu Pinyin: hǎn""]"	[]	"Alternative forms: ⺁
Strokes: 2"	"[""zh.radical.gf0011.007""]"	[]	[]	sources/radicals.tsv	GF 0011-2009 principal radical 7	厂: cliff; Hanyu Pinyin hǎn; attached forms ⺁; 2 strokes.	[]	"[""chinese"",""simplified"",""radicals"",""gf-0011-2009"",""abc""]"
zh-simplified-radicals/008/a-radical	Radicals	vocabulary	8	zh-Hans	en	匚	"[""English: right open box\nHanyu Pinyin: fāng""]"	[]	Strokes: 2	"[""zh.radical.gf0011.008""]"	[]	[]	sources/radicals.tsv	GF 0011-2009 principal radical 8	匚: right open box; Hanyu Pinyin fāng; 2 strokes.	[]	"[""chinese"",""simplified"",""radicals"",""gf-0011-2009"",""abc""]"
zh-simplified-radicals/009/a-radical	Radicals	vocabulary	9	zh-Hans	en	卜	"[""English: divination\nHanyu Pinyin: bǔ""]"	[]	"Alternative forms: ⺊
Strokes: 2"	"[""zh.radical.gf0011.009""]"	[]	[]	sources/radicals.tsv	GF 0011-2009 principal radical 9	卜: divination; Hanyu Pinyin bǔ; attached forms ⺊; 2 strokes.	[]	"[""chinese"",""simplified"",""radicals"",""gf-0011-2009"",""abc""]"
zh-simplified-radicals/010/a-radical	Radicals	vocabulary	10	zh-Hans	en	冂	"[""English: down box\nHanyu Pinyin: jiōng""]"	[]	"Alternative forms: ⺆
Strokes: 2"	"[""zh.radical.gf0011.010""]"	[]	[]	sources/radicals.tsv	GF 0011-2009 principal radical 10	冂: down box; Hanyu Pinyin jiōng; attached forms ⺆; 2 strokes.	[]	"[""chinese"",""simplified"",""radicals"",""gf-0011-2009"",""abc""]"
