card_id	deck	kind	source_chapter	prompt_language	answer_language	prompt	accepted_answers	distractors	explanation	lexical_ids	grammar_ids	geographic_ids	provenance_path	provenance_locator	provenance_evidence	examples	tags
zh-level-3-vocabulary/0001/a-meaning	Level III - Vocabulary	vocabulary	Level III mapping 6554_1	en	zh-Hans	winter clothes	"[""Pinyin: dōng yī\nCharacters: 冬衣""]"	"[]"		"[""zh.level-3-vocabulary.0001""]"	"[]"	"[]"	sources/vocabulary.tsv	mapping 6554_1; entry 1	冬衣 / 冬衣: Mainland Hanyu Pinyin checked against CC-CEDICT; paired example from reviewed Level III example.	"[""工匠把纩填进冬衣。"",""工匠把纊填進冬衣。""]"	"[""chinese"",""vocabulary"",""level-3"",""abc"",""simplified"",""traditional""]"
zh-level-3-vocabulary/0001/b-pinyin	Level III - Vocabulary	vocabulary	Level III mapping 6554_1	zh-Latn-pinyin	zh-Hans	Pinyin: dōng yī	"[""Meaning: winter clothes\nCharacters: 冬衣""]"	"[]"		"[""zh.level-3-vocabulary.0001""]"	"[]"	"[]"	sources/vocabulary.tsv	mapping 6554_1; entry 1	冬衣 / 冬衣: Mainland Hanyu Pinyin checked against CC-CEDICT; paired example from reviewed Level III example.	"[""工匠把纩填进冬衣。"",""工匠把纊填進冬衣。""]"	"[""chinese"",""vocabulary"",""level-3"",""abc"",""simplified"",""traditional""]"
zh-level-3-vocabulary/0001/c-characters	Level III - Vocabulary	vocabulary	Level III mapping 6554_1	zh-Hans	en	Characters: 冬衣	"[""Meaning: winter clothes\nPinyin: dōng yī""]"	"[]"		"[""zh.level-3-vocabulary.0001""]"	"[]"	"[]"	sources/vocabulary.tsv	mapping 6554_1; entry 1	冬衣 / 冬衣: Mainland Hanyu Pinyin checked against CC-CEDICT; paired example from reviewed Level III example.	"[""工匠把纩填进冬衣。"",""工匠把纊填進冬衣。""]"	"[""chinese"",""vocabulary"",""level-3"",""abc"",""simplified"",""traditional""]"
zh-level-3-vocabulary/0002/a-meaning	Level III - Vocabulary	vocabulary	Level III mapping 6582_1	en	zh-Hans	wooden articles	"[""Pinyin: mù qì\nCharacters: 木器""]"	"[]"		"[""zh.level-3-vocabulary.0002""]"	"[]"	"[]"	sources/vocabulary.tsv	mapping 6582_1; entry 2	木器 / 木器: Mainland Hanyu Pinyin checked against CC-CEDICT; paired example from reviewed Level III example.	"[""古代木器或植物记录中可见杩。"",""古代木器或植物記錄中可見榪。""]"	"[""chinese"",""vocabulary"",""level-3"",""abc"",""simplified"",""traditional""]"
zh-level-3-vocabulary/0002/b-pinyin	Level III - Vocabulary	vocabulary	Level III mapping 6582_1	zh-Latn-pinyin	zh-Hans	Pinyin: mù qì	"[""Meaning: wooden articles\nCharacters: 木器""]"	"[]"		"[""zh.level-3-vocabulary.0002""]"	"[]"	"[]"	sources/vocabulary.tsv	mapping 6582_1; entry 2	木器 / 木器: Mainland Hanyu Pinyin checked against CC-CEDICT; paired example from reviewed Level III example.	"[""古代木器或植物记录中可见杩。"",""古代木器或植物記錄中可見榪。""]"	"[""chinese"",""vocabulary"",""level-3"",""abc"",""simplified"",""traditional""]"
zh-level-3-vocabulary/0002/c-characters	Level III - Vocabulary	vocabulary	Level III mapping 6582_1	zh-Hans	en	Characters: 木器	"[""Meaning: wooden articles\nPinyin: mù qì""]"	"[]"		"[""zh.level-3-vocabulary.0002""]"	"[]"	"[]"	sources/vocabulary.tsv	mapping 6582_1; entry 2	木器 / 木器: Mainland Hanyu Pinyin checked against CC-CEDICT; paired example from reviewed Level III example.	"[""古代木器或植物记录中可见杩。"",""古代木器或植物記錄中可見榪。""]"	"[""chinese"",""vocabulary"",""level-3"",""abc"",""simplified"",""traditional""]"
zh-level-3-vocabulary/0003/a-meaning	Level III - Vocabulary	vocabulary	Level III mapping 6624_1	en	zh-Hans	to go into battle	"[""Pinyin: chū zhēng\nCharacters: 出征""]"	"[]"		"[""zh.level-3-vocabulary.0003""]"	"[]"	"[]"	sources/vocabulary.tsv	mapping 6624_1; entry 3	出征 / 出征: Mainland Hanyu Pinyin checked against CC-CEDICT; paired example from reviewed Level III example.	"[""军队出征前举行祃祭。"",""軍隊出征前舉行禡祭。""]"	"[""chinese"",""vocabulary"",""level-3"",""abc"",""simplified"",""traditional""]"
zh-level-3-vocabulary/0003/b-pinyin	Level III - Vocabulary	vocabulary	Level III mapping 6624_1	zh-Latn-pinyin	zh-Hans	Pinyin: chū zhēng	"[""Meaning: to go into battle\nCharacters: 出征""]"	"[]"		"[""zh.level-3-vocabulary.0003""]"	"[]"	"[]"	sources/vocabulary.tsv	mapping 6624_1; entry 3	出征 / 出征: Mainland Hanyu Pinyin checked against CC-CEDICT; paired example from reviewed Level III example.	"[""军队出征前举行祃祭。"",""軍隊出征前舉行禡祭。""]"	"[""chinese"",""vocabulary"",""level-3"",""abc"",""simplified"",""traditional""]"
zh-level-3-vocabulary/0003/c-characters	Level III - Vocabulary	vocabulary	Level III mapping 6624_1	zh-Hans	en	Characters: 出征	"[""Meaning: to go into battle\nPinyin: chū zhēng""]"	"[]"		"[""zh.level-3-vocabulary.0003""]"	"[]"	"[]"	sources/vocabulary.tsv	mapping 6624_1; entry 3	出征 / 出征: Mainland Hanyu Pinyin checked against CC-CEDICT; paired example from reviewed Level III example.	"[""军队出征前举行祃祭。"",""軍隊出征前舉行禡祭。""]"	"[""chinese"",""vocabulary"",""level-3"",""abc"",""simplified"",""traditional""]"
zh-level-3-vocabulary/0004/a-meaning	Level III - Vocabulary	vocabulary	Level III mapping 6630_1	en	zh-Hans	to spruce up	"[""Pinyin: xiū zhěng\nCharacters: 修整""]"	"[]"		"[""zh.level-3-vocabulary.0004""]"	"[]"	"[]"	sources/vocabulary.tsv	mapping 6630_1; entry 4	修整 / 修整: Mainland Hanyu Pinyin checked against CC-CEDICT; paired example from reviewed Level III example.	"[""弓匠正在修整𫸩。"",""弓匠正在修整彄。""]"	"[""chinese"",""vocabulary"",""level-3"",""abc"",""simplified"",""traditional""]"
