number	principal_radical	prompt	english	hanyu_pinyin	strokes	attached_forms
1	一	一	one	yī	1	
2	丨	丨	line	gǔn	1	亅
3	丿	丿	slash	piě	1	
4	丶	丶	dot	zhǔ	1	
5	乛	乛	fold	zhé	1	㇆、⺄、乚、乙
6	十	十	ten	shí	2	
7	厂	厂	cliff	hǎn	2	⺁
8	匚	匚	right open box	fāng	2	
9	卜	卜	divination	bǔ	2	⺊
10	冂	冂	down box	jiōng	2	⺆
11	八	八	eight	bā	2	丷
12	人	人	person	rén	2	亻、入
13	勹	勹	wrap	bāo	2	
14	儿	儿	legs	ér	2	
15	匕	匕	ladle	bǐ	2	
16	几	几	table	jī	2	⺇
17	亠	亠	lid	tóu	2	
18	冫	冫	ice	bīng	2	
19	冖	冖	cover	mì	2	
20	凵	凵	open box	kǎn	2	
21	卩	卩	seal	jié	2	⺋
22	刀	刀	knife	dāo	2	刂、⺈
23	力	力	power	lì	2	
24	又	又	again	yòu	2	
25	厶	厶	private	sī	2	
26	廴	廴	stride	yǐn	2	
27	干	干	dry	gān	3	
28	工	工	work	gōng	3	
29	土	土	earth	tǔ	3	士
30	艹	艹	grass	cǎo	3	艸
31	寸	寸	inch	cùn	3	
32	廾	廾	hands joined	gǒng	3	
33	大	大	big	dà	3	
34	尢	尢	lame	wāng	3	兀、尣
35	弋	弋	shoot with a bow	yì	3	
36	小	小	small	xiǎo	3	⺌
37	口	口	mouth	kǒu	3	
38	囗	囗	enclosure	wéi	3	
39	山	山	mountain	shān	3	
40	巾	巾	towel	jīn	3	
41	彳	彳	step	chì	3	
42	彡	彡	hair	shān	3	
43	夕	夕	night	xī	3	
44	夂	夂	go	zhǐ	3	
45	丬	丬	split wood	qiáng	3	爿
46	广	广	shelter	yǎn	3	
47	门	门	gate	mén	3	門
48	宀	宀	roof	mián	3	
49	辶	辶	walk	chuò	3	辵
50	彐	彐	snout	jì	3	彑
51	尸	尸	corpse	shī	3	
52	己	己	oneself	jǐ	3	已、巳
53	弓	弓	bow	gōng	3	
54	子	子	child	zǐ	3	
55	屮	屮	sprout	chè	3	
56	女	女	woman	nǚ	3	
57	飞	飞	fly	fēi	3	飛
58	马	马	horse	mǎ	3	馬
59	幺	幺	short thread	yāo	3	
60	巛	巛	river	chuān	3	
61	王	王	jade; king	wáng	4	玉
62	无	无	not	wú	4	旡
63	韦	韦	soft leather	wéi	4	韋
64	木	木	tree	mù	4	朩
65	支	支	branch	zhī	4	
66	犬	犬	dog	quǎn	4	犭
67	歹	歹	death	dǎi	4	歺
68	车	车	cart	chē	4	車
69	牙	牙	tooth	yá	4	
70	戈	戈	spear	gē	4	
71	比	比	compare	bǐ	4	
72	瓦	瓦	tile	wǎ	4	
73	止	止	stop	zhǐ	4	
74	攴	攴	rap	pū	4	攵
75	日	日	sun	rì	4	⺜、曰
76	贝	贝	shell	bèi	4	貝
77	水	水	water	shuǐ	4	氵、氺
78	见	见	see	jiàn	4	見
79	牛	牛	cow	niú	4	牜
80	手	手	hand	shǒu	4	扌、龵
81	气	气	steam	qì	4	
82	毛	毛	fur	máo	4	
83	长	长	long	cháng	4	镸、長
84	片	片	slice	piàn	4	
85	斤	斤	axe	jīn	4	
86	爪	爪	claw	zhǎo	4	爫
87	父	父	father	fù	4	
88	月	月	moon	yuè	4	⺝
89	氏	氏	clan	shì	4	
90	欠	欠	lack	qiàn	4	
91	风	风	wind	fēng	4	風
92	殳	殳	weapon	shū	4	
93	文	文	script	wén	4	
94	方	方	square	fāng	4	
95	火	火	fire	huǒ	4	灬
96	斗	斗	dipper	dǒu	4	
97	户	户	door	hù	4	
98	心	心	heart	xīn	4	忄、⺗
99	毋	毋	do not	wú	4	母
100	示	示	spirit	shì	5	礻
101	甘	甘	sweet	gān	5	
102	石	石	stone	shí	5	
103	龙	龙	dragon	lóng	5	龍
104	业	业	industry	yè	5	
105	目	目	eye	mù	5	
106	田	田	field	tián	5	
107	罒	罒	net	wǎng	5	
108	皿	皿	dish	mǐn	5	
109	生	生	life	shēng	5	
110	矢	矢	arrow	shǐ	5	
111	禾	禾	grain	hé	5	
112	白	白	white	bái	5	
113	瓜	瓜	melon	guā	5	
114	鸟	鸟	bird	niǎo	5	鳥
115	疒	疒	sickness	nè	5	
116	立	立	stand	lì	5	
117	穴	穴	cave	xué	5	
118	疋	疋	bolt of cloth	pǐ	5	⺪
