deck	direction	front	back	source_chapter	entry_type	notes
Chapter 1-5	English -> Chinese	Meaning: hello	Characters: 你好\nPinyin: nǐ hǎo	1	vocabulary	Fixed greeting expression.
Chapter 1-5	Chinese -> English	Characters: 你好	Meaning: hello\nPinyin: nǐ hǎo	1	vocabulary	Fixed greeting expression.
Chapter 1-5	Pinyin -> Chinese	Pinyin: nǐ hǎo	Meaning: hello\nCharacters: 你好	1	vocabulary	Fixed greeting expression.
Chapter 1-5	English -> Chinese	Meaning: I / me	Characters: 我\nPinyin: wǒ	1	function word	First-person pronoun.
Chapter 1-5	Chinese -> English	Characters: 我	Meaning: I / me\nPinyin: wǒ	1	function word	First-person pronoun.
Chapter 1-5	Pinyin -> Chinese	Pinyin: wǒ	Meaning: I / me\nCharacters: 我	1	function word	First-person pronoun.
Chapter 1-5	English -> Chinese	Meaning: am / is / are	Characters: 是\nPinyin: shì	1	function word	Identity verb in this chapter.
Chapter 1-5	Chinese -> English	Characters: 是	Meaning: am / is / are\nPinyin: shì	1	function word	Identity verb in this chapter.
Chapter 1-5	Pinyin -> Chinese	Pinyin: shì	Meaning: am / is / are\nCharacters: 是	1	function word	Identity verb in this chapter.
Chapter 1-5	English -> Chinese	Meaning: student	Characters: 学生\nPinyin: xuéshēng	1	vocabulary	Noun.
Chapter 1-5	Chinese -> English	Characters: 学生	Meaning: student\nPinyin: xuéshēng	1	vocabulary	Noun.
Chapter 1-5	Pinyin -> Chinese	Pinyin: xuéshēng	Meaning: student\nCharacters: 学生	1	vocabulary	Noun.
Chapter 1-5	English -> Chinese	Meaning: teacher	Characters: 老师\nPinyin: lǎoshī	1	vocabulary	Noun and title after a surname.
Chapter 1-5	Chinese -> English	Characters: 老师	Meaning: teacher\nPinyin: lǎoshī	1	vocabulary	Noun and title after a surname.
Chapter 1-5	Pinyin -> Chinese	Pinyin: lǎoshī	Meaning: teacher\nCharacters: 老师	1	vocabulary	Noun and title after a surname.
