card_id	deck	kind	source_chapter	prompt_language	answer_language	prompt	accepted_answers	distractors	explanation	lexical_ids	grammar_ids	geographic_ids	provenance_path	provenance_locator	provenance_evidence	examples	tags
ja-core/chapter-006-010/ja-suffix-san-01/a-english-to-japanese	Chapter 6-10	vocabulary	6	en	ja	Mr.; Ms.; polite name suffix	"[""Japanese: さん""]"	[]		"[""ja.suffix.san"",""ja.suffix.san.01""]"	[]	[]	units/japanese-core/chapter-006-meeting-misaki/chapter.md	Dialogue > line 1	佐藤さん、こんにちは。	"[""佐藤さん、こんにちは。"",""高橋さん、こんにちは。"",""こちらは伊藤美咲さんです。私の友達です。""]"	"[""japanese"",""reading"",""chapter-006-010"",""a-english-to-japanese""]"
ja-core/chapter-006-010/ja-suffix-san-01/b-reading-to-japanese	Chapter 6-10	vocabulary	6	ja-Kana	ja	さん	"[""Meaning: Mr.; Ms.; polite name suffix; Japanese: さん""]"	[]		"[""ja.suffix.san"",""ja.suffix.san.01""]"	[]	[]	units/japanese-core/chapter-006-meeting-misaki/chapter.md	Dialogue > line 1	佐藤さん、こんにちは。	"[""佐藤さん、こんにちは。"",""高橋さん、こんにちは。"",""こちらは伊藤美咲さんです。私の友達です。""]"	"[""japanese"",""reading"",""chapter-006-010"",""b-reading-to-japanese""]"
ja-core/chapter-006-010/ja-suffix-san-01/c-japanese-to-english	Chapter 6-10	vocabulary	6	ja	en	さん	"[""Meaning: Mr.; Ms.; polite name suffix""]"	[]		"[""ja.suffix.san"",""ja.suffix.san.01""]"	[]	[]	units/japanese-core/chapter-006-meeting-misaki/chapter.md	Dialogue > line 1	佐藤さん、こんにちは。	"[""佐藤さん、こんにちは。"",""高橋さん、こんにちは。"",""こちらは伊藤美咲さんです。私の友達です。""]"	"[""japanese"",""reading"",""chapter-006-010"",""c-japanese-to-english""]"
ja-core/chapter-006-010/ja-pronoun-kochira-01/a-english-to-japanese	Chapter 6-10	vocabulary	6	en	ja	this person (polite introduction)	"[""Japanese: こちら""]"	[]		"[""ja.pronoun.kochira"",""ja.pronoun.kochira.01""]"	[]	[]	units/japanese-core/chapter-006-meeting-misaki/chapter.md	Dialogue > line 3	こちらは伊藤美咲さんです。私の友達です。	"[""こちらは伊藤美咲さんです。私の友達です。""]"	"[""japanese"",""reading"",""chapter-006-010"",""a-english-to-japanese""]"
ja-core/chapter-006-010/ja-pronoun-kochira-01/b-reading-to-japanese	Chapter 6-10	vocabulary	6	ja-Kana	ja	こちら	"[""Meaning: this person (polite introduction); Japanese: こちら""]"	[]		"[""ja.pronoun.kochira"",""ja.pronoun.kochira.01""]"	[]	[]	units/japanese-core/chapter-006-meeting-misaki/chapter.md	Dialogue > line 3	こちらは伊藤美咲さんです。私の友達です。	"[""こちらは伊藤美咲さんです。私の友達です。""]"	"[""japanese"",""reading"",""chapter-006-010"",""b-reading-to-japanese""]"
ja-core/chapter-006-010/ja-pronoun-kochira-01/c-japanese-to-english	Chapter 6-10	vocabulary	6	ja	en	こちら	"[""Meaning: this person (polite introduction)""]"	[]		"[""ja.pronoun.kochira"",""ja.pronoun.kochira.01""]"	[]	[]	units/japanese-core/chapter-006-meeting-misaki/chapter.md	Dialogue > line 3	こちらは伊藤美咲さんです。私の友達です。	"[""こちらは伊藤美咲さんです。私の友達です。""]"	"[""japanese"",""reading"",""chapter-006-010"",""c-japanese-to-english""]"
ja-core/chapter-006-010/ja-noun-kangogakusei-01/a-english-to-japanese	Chapter 6-10	vocabulary	6	en	ja	nursing student	"[""Reading: かんごがくせい; Japanese: 看護学生""]"	[]		"[""ja.noun.kangogakusei"",""ja.noun.kangogakusei.01""]"	[]	[]	units/japanese-core/chapter-006-meeting-misaki/chapter.md	Dialogue > line 7	はい。看護学生です。	"[""はい。看護学生です。""]"	"[""japanese"",""reading"",""chapter-006-010"",""a-english-to-japanese""]"
ja-core/chapter-006-010/ja-noun-kangogakusei-01/b-reading-to-japanese	Chapter 6-10	vocabulary	6	ja-Kana	ja	かんごがくせい	"[""Meaning: nursing student; Japanese: 看護学生""]"	[]		"[""ja.noun.kangogakusei"",""ja.noun.kangogakusei.01""]"	[]	[]	units/japanese-core/chapter-006-meeting-misaki/chapter.md	Dialogue > line 7	はい。看護学生です。	"[""はい。看護学生です。""]"	"[""japanese"",""reading"",""chapter-006-010"",""b-reading-to-japanese""]"
ja-core/chapter-006-010/ja-noun-kangogakusei-01/c-japanese-to-english	Chapter 6-10	vocabulary	6	ja	en	看護学生	"[""Meaning: nursing student; Reading: かんごがくせい""]"	[]		"[""ja.noun.kangogakusei"",""ja.noun.kangogakusei.01""]"	[]	[]	units/japanese-core/chapter-006-meeting-misaki/chapter.md	Dialogue > line 7	はい。看護学生です。	"[""はい。看護学生です。""]"	"[""japanese"",""reading"",""chapter-006-010"",""c-japanese-to-english""]"
ja-core/chapter-006-010/ja-noun-shusshin-01/a-english-to-japanese	Chapter 6-10	vocabulary	6	en	ja	place of origin	"[""Reading: しゅっしん; Japanese: 出身""]"	[]		"[""ja.noun.shusshin"",""ja.noun.shusshin.01""]"	[]	[]	units/japanese-core/chapter-006-meeting-misaki/chapter.md	Dialogue > line 8	出身はどこですか。	"[""出身はどこですか。""]"	"[""japanese"",""reading"",""chapter-006-010"",""a-english-to-japanese""]"
