deck	direction	front	back	source_chapter	entry_type	notes
Pinyin-Zhuyin	Pinyin -> Zhuyin	b	ㄅ	conversion	initial	No tones.
Pinyin-Zhuyin	Zhuyin -> Pinyin	ㄅ	b	conversion	initial	No tones.
Pinyin-Zhuyin	Pinyin -> Zhuyin	p	ㄆ	conversion	initial	No tones.
Pinyin-Zhuyin	Zhuyin -> Pinyin	ㄆ	p	conversion	initial	No tones.
Pinyin-Zhuyin	Pinyin -> Zhuyin	m	ㄇ	conversion	initial	No tones.
Pinyin-Zhuyin	Zhuyin -> Pinyin	ㄇ	m	conversion	initial	No tones.
Pinyin-Zhuyin	Pinyin -> Zhuyin	f	ㄈ	conversion	initial	No tones.
Pinyin-Zhuyin	Zhuyin -> Pinyin	ㄈ	f	conversion	initial	No tones.
Pinyin-Zhuyin	Pinyin -> Zhuyin	d	ㄉ	conversion	initial	No tones.
Pinyin-Zhuyin	Zhuyin -> Pinyin	ㄉ	d	conversion	initial	No tones.
Pinyin-Zhuyin	Pinyin -> Zhuyin	t	ㄊ	conversion	initial	No tones.
Pinyin-Zhuyin	Zhuyin -> Pinyin	ㄊ	t	conversion	initial	No tones.
Pinyin-Zhuyin	Pinyin -> Zhuyin	n	ㄋ	conversion	initial	No tones.
Pinyin-Zhuyin	Zhuyin -> Pinyin	ㄋ	n	conversion	initial	No tones.
Pinyin-Zhuyin	Pinyin -> Zhuyin	l	ㄌ	conversion	initial	No tones.
Pinyin-Zhuyin	Zhuyin -> Pinyin	ㄌ	l	conversion	initial	No tones.
Pinyin-Zhuyin	Pinyin -> Zhuyin	g	ㄍ	conversion	initial	No tones.
Pinyin-Zhuyin	Zhuyin -> Pinyin	ㄍ	g	conversion	initial	No tones.
Pinyin-Zhuyin	Pinyin -> Zhuyin	k	ㄎ	conversion	initial	No tones.
Pinyin-Zhuyin	Zhuyin -> Pinyin	ㄎ	k	conversion	initial	No tones.
Pinyin-Zhuyin	Pinyin -> Zhuyin	h	ㄏ	conversion	initial	No tones.
Pinyin-Zhuyin	Zhuyin -> Pinyin	ㄏ	h	conversion	initial	No tones.
Pinyin-Zhuyin	Pinyin -> Zhuyin	j	ㄐ	conversion	initial	No tones.
Pinyin-Zhuyin	Zhuyin -> Pinyin	ㄐ	j	conversion	initial	No tones.
Pinyin-Zhuyin	Pinyin -> Zhuyin	q	ㄑ	conversion	initial	No tones.
Pinyin-Zhuyin	Zhuyin -> Pinyin	ㄑ	q	conversion	initial	No tones.
Pinyin-Zhuyin	Pinyin -> Zhuyin	x	ㄒ	conversion	initial	No tones.
Pinyin-Zhuyin	Zhuyin -> Pinyin	ㄒ	x	conversion	initial	No tones.
Pinyin-Zhuyin	Pinyin -> Zhuyin	zh	ㄓ	conversion	initial	No tones.
Pinyin-Zhuyin	Zhuyin -> Pinyin	ㄓ	zh	conversion	initial	No tones.
Pinyin-Zhuyin	Pinyin -> Zhuyin	ch	ㄔ	conversion	initial	No tones.
Pinyin-Zhuyin	Zhuyin -> Pinyin	ㄔ	ch	conversion	initial	No tones.
Pinyin-Zhuyin	Pinyin -> Zhuyin	sh	ㄕ	conversion	initial	No tones.
Pinyin-Zhuyin	Zhuyin -> Pinyin	ㄕ	sh	conversion	initial	No tones.
Pinyin-Zhuyin	Pinyin -> Zhuyin	r	ㄖ	conversion	initial	No tones.
Pinyin-Zhuyin	Zhuyin -> Pinyin	ㄖ	r	conversion	initial	No tones.
Pinyin-Zhuyin	Pinyin -> Zhuyin	z	ㄗ	conversion	initial	No tones.
Pinyin-Zhuyin	Zhuyin -> Pinyin	ㄗ	z	conversion	initial	No tones.
Pinyin-Zhuyin	Pinyin -> Zhuyin	c	ㄘ	conversion	initial	No tones.
Pinyin-Zhuyin	Zhuyin -> Pinyin	ㄘ	c	conversion	initial	No tones.
Pinyin-Zhuyin	Pinyin -> Zhuyin	s	ㄙ	conversion	initial	No tones.
Pinyin-Zhuyin	Zhuyin -> Pinyin	ㄙ	s	conversion	initial	No tones.
Pinyin-Zhuyin	Pinyin -> Zhuyin	a	ㄚ	conversion	final	No tones.
Pinyin-Zhuyin	Zhuyin -> Pinyin	ㄚ	a	conversion	final	No tones.
Pinyin-Zhuyin	Pinyin -> Zhuyin	o	ㄛ	conversion	final	No tones.
Pinyin-Zhuyin	Zhuyin -> Pinyin	ㄛ	o	conversion	final	No tones.
Pinyin-Zhuyin	Pinyin -> Zhuyin	e	ㄜ	conversion	final	No tones.
Pinyin-Zhuyin	Zhuyin -> Pinyin	ㄜ	e	conversion	final	No tones.
Pinyin-Zhuyin	Pinyin -> Zhuyin	ê	ㄝ	conversion	final	No tones.
Pinyin-Zhuyin	Zhuyin -> Pinyin	ㄝ	ê	conversion	final	No tones.
Pinyin-Zhuyin	Pinyin -> Zhuyin	ai	ㄞ	conversion	final	No tones.
Pinyin-Zhuyin	Zhuyin -> Pinyin	ㄞ	ai	conversion	final	No tones.
Pinyin-Zhuyin	Pinyin -> Zhuyin	ei	ㄟ	conversion	final	No tones.
Pinyin-Zhuyin	Zhuyin -> Pinyin	ㄟ	ei	conversion	final	No tones.
Pinyin-Zhuyin	Pinyin -> Zhuyin	ao	ㄠ	conversion	final	No tones.
Pinyin-Zhuyin	Zhuyin -> Pinyin	ㄠ	ao	conversion	final	No tones.
Pinyin-Zhuyin	Pinyin -> Zhuyin	ou	ㄡ	conversion	final	No tones.
Pinyin-Zhuyin	Zhuyin -> Pinyin	ㄡ	ou	conversion	final	No tones.
Pinyin-Zhuyin	Pinyin -> Zhuyin	an	ㄢ	conversion	final	No tones.
Pinyin-Zhuyin	Zhuyin -> Pinyin	ㄢ	an	conversion	final	No tones.
Pinyin-Zhuyin	Pinyin -> Zhuyin	en	ㄣ	conversion	final	No tones.
Pinyin-Zhuyin	Zhuyin -> Pinyin	ㄣ	en	conversion	final	No tones.
Pinyin-Zhuyin	Pinyin -> Zhuyin	ang	ㄤ	conversion	final	No tones.
Pinyin-Zhuyin	Zhuyin -> Pinyin	ㄤ	ang	conversion	final	No tones.
Pinyin-Zhuyin	Pinyin -> Zhuyin	eng	ㄥ	conversion	final	No tones.
Pinyin-Zhuyin	Zhuyin -> Pinyin	ㄥ	eng	conversion	final	No tones.
Pinyin-Zhuyin	Pinyin -> Zhuyin	er	ㄦ	conversion	final	No tones.
Pinyin-Zhuyin	Zhuyin -> Pinyin	ㄦ	er	conversion	final	No tones.
Pinyin-Zhuyin	Pinyin -> Zhuyin	i	ㄧ	conversion	final	No tones.
Pinyin-Zhuyin	Zhuyin -> Pinyin	ㄧ	i	conversion	final	No tones.
Pinyin-Zhuyin	Pinyin -> Zhuyin	ia	ㄧㄚ	conversion	final	No tones.
