card_id	deck	kind	source_chapter	prompt_language	answer_language	prompt	accepted_answers	distractors	explanation	lexical_ids	grammar_ids	geographic_ids	provenance_path	provenance_locator	provenance_evidence	examples	tags
zu-core-review-001-005/zu-greeting-sawubona-hello-to-one-person/target-to-source	Chapter 1-5	vocabulary	1	zu	en	sawubona	["hello (to one person)"]	[]	sawubona reviews the canonical hello (to one person) sense first introduced in Chapter 1.	["zu.greeting.sawubona","zu.greeting.sawubona.hello-to-one-person"]	[]	[]	units/zulu-core/chapter-001-meeting-thandi/chapter.md	Dialogue > line 1	Sawubona.	["Sawubona."]	["zulu","review-deck","chapter-001-005","vocabulary","target-to-source"]
zu-core-review-001-005/zu-greeting-sawubona-hello-to-one-person/source-to-target	Chapter 1-5	vocabulary	1	en	zu	hello (to one person)	["sawubona"]	[]	sawubona reviews the canonical hello (to one person) sense first introduced in Chapter 1.	["zu.greeting.sawubona","zu.greeting.sawubona.hello-to-one-person"]	[]	[]	units/zulu-core/chapter-001-meeting-thandi/chapter.md	Dialogue > line 1	Sawubona.	["Sawubona."]	["zulu","review-deck","chapter-001-005","vocabulary","source-to-target"]
zu-core-review-001-005/zu-response-yebo-yes/target-to-source	Chapter 1-5	vocabulary	1	zu	en	yebo	["yes"]	[]	yebo reviews the canonical yes sense first introduced in Chapter 1.	["zu.response.yebo","zu.response.yebo.yes"]	[]	[]	units/zulu-core/chapter-001-meeting-thandi/chapter.md	Dialogue > line 2	Yebo, sawubona.	["Yebo, sawubona."]	["zulu","review-deck","chapter-001-005","vocabulary","target-to-source"]
zu-core-review-001-005/zu-response-yebo-yes/source-to-target	Chapter 1-5	vocabulary	1	en	zu	yes	["yebo"]	[]	yebo reviews the canonical yes sense first introduced in Chapter 1.	["zu.response.yebo","zu.response.yebo.yes"]	[]	[]	units/zulu-core/chapter-001-meeting-thandi/chapter.md	Dialogue > line 2	Yebo, sawubona.	["Yebo, sawubona."]	["zulu","review-deck","chapter-001-005","vocabulary","source-to-target"]
zu-core-review-001-005/zu-noun-umfundi-student/target-to-source	Chapter 1-5	vocabulary	1	zu	en	umfundi	["student"]	[]	umfundi reviews the canonical student sense first introduced in Chapter 1.	["zu.noun.umfundi","zu.noun.umfundi.student"]	[]	[]	units/zulu-core/chapter-001-meeting-thandi/chapter.md	Dialogue > line 5	Ngingumfundi, unjani?	["Ngingumfundi, unjani?"]	["zulu","review-deck","chapter-001-005","vocabulary","target-to-source"]
zu-core-review-001-005/zu-noun-umfundi-student/source-to-target	Chapter 1-5	vocabulary	1	en	zu	student	["umfundi"]	[]	umfundi reviews the canonical student sense first introduced in Chapter 1.	["zu.noun.umfundi","zu.noun.umfundi.student"]	[]	[]	units/zulu-core/chapter-001-meeting-thandi/chapter.md	Dialogue > line 5	Ngingumfundi, unjani?	["Ngingumfundi, unjani?"]	["zulu","review-deck","chapter-001-005","vocabulary","source-to-target"]
zu-core-review-001-005/zu-expression-unjani-how-are-you/target-to-source	Chapter 1-5	vocabulary	1	zu	en	unjani	["how are you?"]	[]	unjani reviews the canonical how are you? sense first introduced in Chapter 1.	["zu.expression.unjani","zu.expression.unjani.how-are-you"]	[]	[]	units/zulu-core/chapter-001-meeting-thandi/chapter.md	Dialogue > line 5	Ngingumfundi, unjani?	["Ngingumfundi, unjani?"]	["zulu","review-deck","chapter-001-005","vocabulary","target-to-source"]
zu-core-review-001-005/zu-expression-unjani-how-are-you/source-to-target	Chapter 1-5	vocabulary	1	en	zu	how are you?	["unjani"]	[]	unjani reviews the canonical how are you? sense first introduced in Chapter 1.	["zu.expression.unjani","zu.expression.unjani.how-are-you"]	[]	[]	units/zulu-core/chapter-001-meeting-thandi/chapter.md	Dialogue > line 5	Ngingumfundi, unjani?	["Ngingumfundi, unjani?"]	["zulu","review-deck","chapter-001-005","vocabulary","source-to-target"]
zu-core-review-001-005/zu-noun-uthisha-teacher/target-to-source	Chapter 1-5	vocabulary	1	zu	en	uthisha	["teacher"]	[]	uthisha reviews the canonical teacher sense first introduced in Chapter 1.	["zu.noun.uthisha","zu.noun.uthisha.teacher"]	[]	[]	units/zulu-core/chapter-001-meeting-thandi/chapter.md	Dialogue > line 6	Nginguthisha, ngiyaphila.	["Nginguthisha, ngiyaphila."]	["zulu","review-deck","chapter-001-005","vocabulary","target-to-source"]
zu-core-review-001-005/zu-noun-uthisha-teacher/source-to-target	Chapter 1-5	vocabulary	1	en	zu	teacher	["uthisha"]	[]	uthisha reviews the canonical teacher sense first introduced in Chapter 1.	["zu.noun.uthisha","zu.noun.uthisha.teacher"]	[]	[]	units/zulu-core/chapter-001-meeting-thandi/chapter.md	Dialogue > line 6	Nginguthisha, ngiyaphila.	["Nginguthisha, ngiyaphila."]	["zulu","review-deck","chapter-001-005","vocabulary","source-to-target"]
zu-core-review-001-005/zu-expression-ngiyaphila-i-am-well/target-to-source	Chapter 1-5	vocabulary	1	zu	en	ngiyaphila	["I am well"]	[]	ngiyaphila reviews the canonical I am well sense first introduced in Chapter 1.	["zu.expression.ngiyaphila","zu.expression.ngiyaphila.i-am-well"]	[]	[]	units/zulu-core/chapter-001-meeting-thandi/chapter.md	Dialogue > line 6	Nginguthisha, ngiyaphila.	["Nginguthisha, ngiyaphila."]	["zulu","review-deck","chapter-001-005","vocabulary","target-to-source"]
zu-core-review-001-005/zu-expression-ngiyaphila-i-am-well/source-to-target	Chapter 1-5	vocabulary	1	en	zu	I am well	["ngiyaphila"]	[]	ngiyaphila reviews the canonical I am well sense first introduced in Chapter 1.	["zu.expression.ngiyaphila","zu.expression.ngiyaphila.i-am-well"]	[]	[]	units/zulu-core/chapter-001-meeting-thandi/chapter.md	Dialogue > line 6	Nginguthisha, ngiyaphila.	["Nginguthisha, ngiyaphila."]	["zulu","review-deck","chapter-001-005","vocabulary","source-to-target"]
zu-core-review-001-005/zu-noun-ikhaya-home/target-to-source	Chapter 1-5	vocabulary	2	zu	en	ikhaya	["home"]	[]	ikhaya reviews the canonical home sense first introduced in Chapter 2.	["zu.noun.ikhaya","zu.noun.ikhaya.home"]	[]	[]	units/zulu-core/chapter-002-thandi-s-home/chapter.md	Narrative > line 1	Ikhaya likaThandi lincane.	["Ikhaya likaThandi lincane."]	["zulu","review-deck","chapter-001-005","vocabulary","target-to-source"]
zu-core-review-001-005/zu-noun-ikhaya-home/source-to-target	Chapter 1-5	vocabulary	2	en	zu	home	["ikhaya"]	[]	ikhaya reviews the canonical home sense first introduced in Chapter 2.	["zu.noun.ikhaya","zu.noun.ikhaya.home"]	[]	[]	units/zulu-core/chapter-002-thandi-s-home/chapter.md	Narrative > line 1	Ikhaya likaThandi lincane.	["Ikhaya likaThandi lincane."]	["zulu","review-deck","chapter-001-005","vocabulary","source-to-target"]
zu-core-review-001-005/zu-adjective-ncane-small/target-to-source	Chapter 1-5	vocabulary	2	zu	en	lincane	["is small"]	[]	lincane reviews the canonical is small sense first introduced in Chapter 2.	["zu.adjective.ncane","zu.adjective.ncane.small"]	[]	[]	units/zulu-core/chapter-002-thandi-s-home/chapter.md	Narrative > line 1	Ikhaya likaThandi lincane.	["Ikhaya likaThandi lincane."]	["zulu","review-deck","chapter-001-005","vocabulary","target-to-source"]
zu-core-review-001-005/zu-adjective-ncane-small/source-to-target	Chapter 1-5	vocabulary	2	en	zu	is small	["lincane"]	[]	lincane reviews the canonical is small sense first introduced in Chapter 2.	["zu.adjective.ncane","zu.adjective.ncane.small"]	[]	[]	units/zulu-core/chapter-002-thandi-s-home/chapter.md	Narrative > line 1	Ikhaya likaThandi lincane.	["Ikhaya likaThandi lincane."]	["zulu","review-deck","chapter-001-005","vocabulary","source-to-target"]
zu-core-review-001-005/zu-noun-igumbi-room/target-to-source	Chapter 1-5	vocabulary	2	zu	en	igumbi	["room"]	[]	igumbi reviews the canonical room sense first introduced in Chapter 2.	["zu.noun.igumbi","zu.noun.igumbi.room"]	[]	[]	units/zulu-core/chapter-002-thandi-s-home/chapter.md	Narrative > line 2	Igumbi linetafula.	["Igumbi linetafula."]	["zulu","review-deck","chapter-001-005","vocabulary","target-to-source"]
zu-core-review-001-005/zu-noun-igumbi-room/source-to-target	Chapter 1-5	vocabulary	2	en	zu	room	["igumbi"]	[]	igumbi reviews the canonical room sense first introduced in Chapter 2.	["zu.noun.igumbi","zu.noun.igumbi.room"]	[]	[]	units/zulu-core/chapter-002-thandi-s-home/chapter.md	Narrative > line 2	Igumbi linetafula.	["Igumbi linetafula."]	["zulu","review-deck","chapter-001-005","vocabulary","source-to-target"]
zu-core-review-001-005/zu-noun-itafula-table/target-to-source	Chapter 1-5	vocabulary	2	zu	en	itafula	["table"]	[]	itafula reviews the canonical table sense first introduced in Chapter 2.	["zu.noun.itafula","zu.noun.itafula.table"]	[]	[]	units/zulu-core/chapter-002-thandi-s-home/chapter.md	Narrative > line 3	Kukhona itafula egumbini.	["Kukhona itafula egumbini."]	["zulu","review-deck","chapter-001-005","vocabulary","target-to-source"]
zu-core-review-001-005/zu-noun-itafula-table/source-to-target	Chapter 1-5	vocabulary	2	en	zu	table	["itafula"]	[]	itafula reviews the canonical table sense first introduced in Chapter 2.	["zu.noun.itafula","zu.noun.itafula.table"]	[]	[]	units/zulu-core/chapter-002-thandi-s-home/chapter.md	Narrative > line 3	Kukhona itafula egumbini.	["Kukhona itafula egumbini."]	["zulu","review-deck","chapter-001-005","vocabulary","source-to-target"]
zu-core-review-001-005/zu-expression-kukhona-there-is/target-to-source	Chapter 1-5	vocabulary	2	zu	en	kukhona	["there is"]	[]	kukhona reviews the canonical there is sense first introduced in Chapter 2.	["zu.expression.kukhona","zu.expression.kukhona.there-is"]	[]	[]	units/zulu-core/chapter-002-thandi-s-home/chapter.md	Narrative > line 3	Kukhona itafula egumbini.	["Kukhona itafula egumbini."]	["zulu","review-deck","chapter-001-005","vocabulary","target-to-source"]
zu-core-review-001-005/zu-expression-kukhona-there-is/source-to-target	Chapter 1-5	vocabulary	2	en	zu	there is	["kukhona"]	[]	kukhona reviews the canonical there is sense first introduced in Chapter 2.	["zu.expression.kukhona","zu.expression.kukhona.there-is"]	[]	[]	units/zulu-core/chapter-002-thandi-s-home/chapter.md	Narrative > line 3	Kukhona itafula egumbini.	["Kukhona itafula egumbini."]	["zulu","review-deck","chapter-001-005","vocabulary","source-to-target"]
zu-core-review-001-005/zu-noun-incwadi-book/target-to-source	Chapter 1-5	vocabulary	2	zu	en	incwadi	["book"]	[]	incwadi reviews the canonical book sense first introduced in Chapter 2.	["zu.noun.incwadi","zu.noun.incwadi.book"]	[]	[]	units/zulu-core/chapter-002-thandi-s-home/chapter.md	Narrative > line 4	Incwadi iphezu kwetafula.	["Incwadi iphezu kwetafula."]	["zulu","review-deck","chapter-001-005","vocabulary","target-to-source"]
zu-core-review-001-005/zu-noun-incwadi-book/source-to-target	Chapter 1-5	vocabulary	2	en	zu	book	["incwadi"]	[]	incwadi reviews the canonical book sense first introduced in Chapter 2.	["zu.noun.incwadi","zu.noun.incwadi.book"]	[]	[]	units/zulu-core/chapter-002-thandi-s-home/chapter.md	Narrative > line 4	Incwadi iphezu kwetafula.	["Incwadi iphezu kwetafula."]	["zulu","review-deck","chapter-001-005","vocabulary","source-to-target"]
zu-core-review-001-005/zu-locative-phezu-on-top-of/target-to-source	Chapter 1-5	vocabulary	2	zu	en	iphezu	["is on top of"]	[]	iphezu reviews the canonical is on top of sense first introduced in Chapter 2.	["zu.locative.phezu","zu.locative.phezu.on-top-of"]	[]	[]	units/zulu-core/chapter-002-thandi-s-home/chapter.md	Narrative > line 4	Incwadi iphezu kwetafula.	["Incwadi iphezu kwetafula."]	["zulu","review-deck","chapter-001-005","vocabulary","target-to-source"]
