card_id	deck	kind	source_chapter	prompt_language	answer_language	prompt	accepted_answers	distractors	explanation	lexical_ids	grammar_ids	geographic_ids	provenance_path	provenance_locator	provenance_evidence	examples	tags
fr-core-review-001-005/fr-greeting-bonjour-hello/target-to-source	Chapter 1-5	vocabulary	1	fr	en	bonjour	["hello"]	[]	bonjour reviews the canonical hello sense first introduced in Chapter 1.	["fr.greeting.bonjour","fr.greeting.bonjour.hello"]	[]	[]	units/french-core/chapter-001-meeting-a-neighbor/chapter.md	Dialogue > line 1	Bonjour !	["Bonjour !"]	["french","review-deck","chapter-001-005","vocabulary","target-to-source"]
fr-core-review-001-005/fr-greeting-bonjour-hello/source-to-target	Chapter 1-5	vocabulary	1	en	fr	hello	["bonjour"]	[]	bonjour reviews the canonical hello sense first introduced in Chapter 1.	["fr.greeting.bonjour","fr.greeting.bonjour.hello"]	[]	[]	units/french-core/chapter-001-meeting-a-neighbor/chapter.md	Dialogue > line 1	Bonjour !	["Bonjour !"]	["french","review-deck","chapter-001-005","vocabulary","source-to-target"]
fr-core-review-001-005/fr-greeting-salut-hi/target-to-source	Chapter 1-5	vocabulary	1	fr	en	salut	["hi"]	[]	salut reviews the canonical hi sense first introduced in Chapter 1.	["fr.greeting.salut","fr.greeting.salut.hi"]	[]	[]	units/french-core/chapter-001-meeting-a-neighbor/chapter.md	Dialogue > line 2	Salut !	["Salut !"]	["french","review-deck","chapter-001-005","vocabulary","target-to-source"]
fr-core-review-001-005/fr-greeting-salut-hi/source-to-target	Chapter 1-5	vocabulary	1	en	fr	hi	["salut"]	[]	salut reviews the canonical hi sense first introduced in Chapter 1.	["fr.greeting.salut","fr.greeting.salut.hi"]	[]	[]	units/french-core/chapter-001-meeting-a-neighbor/chapter.md	Dialogue > line 2	Salut !	["Salut !"]	["french","review-deck","chapter-001-005","vocabulary","source-to-target"]
fr-core-review-001-005/fr-pronoun-je-i/target-to-source	Chapter 1-5	vocabulary	1	fr	en	je	["I"]	[]	je reviews the canonical I sense first introduced in Chapter 1.	["fr.pronoun.je","fr.pronoun.je.i"]	[]	[]	units/french-core/chapter-001-meeting-a-neighbor/chapter.md	Dialogue > line 3	Je suis Lina.	["Je suis Lina."]	["french","review-deck","chapter-001-005","vocabulary","target-to-source"]
fr-core-review-001-005/fr-pronoun-je-i/source-to-target	Chapter 1-5	vocabulary	1	en	fr	I	["je"]	[]	je reviews the canonical I sense first introduced in Chapter 1.	["fr.pronoun.je","fr.pronoun.je.i"]	[]	[]	units/french-core/chapter-001-meeting-a-neighbor/chapter.md	Dialogue > line 3	Je suis Lina.	["Je suis Lina."]	["french","review-deck","chapter-001-005","vocabulary","source-to-target"]
fr-core-review-001-005/fr-verb-etre-suis-am/target-to-source	Chapter 1-5	vocabulary	1	fr	en	suis	["am"]	[]	suis reviews the canonical am sense first introduced in Chapter 1.	["fr.verb.etre-suis","fr.verb.etre-suis.am"]	[]	[]	units/french-core/chapter-001-meeting-a-neighbor/chapter.md	Dialogue > line 3	Je suis Lina.	["Je suis Lina."]	["french","review-deck","chapter-001-005","vocabulary","target-to-source"]
fr-core-review-001-005/fr-verb-etre-suis-am/source-to-target	Chapter 1-5	vocabulary	1	en	fr	am	["suis"]	[]	suis reviews the canonical am sense first introduced in Chapter 1.	["fr.verb.etre-suis","fr.verb.etre-suis.am"]	[]	[]	units/french-core/chapter-001-meeting-a-neighbor/chapter.md	Dialogue > line 3	Je suis Lina.	["Je suis Lina."]	["french","review-deck","chapter-001-005","vocabulary","source-to-target"]
fr-core-review-001-005/fr-noun-voisin-male-neighbor/target-to-source	Chapter 1-5	vocabulary	1	fr	en	le voisin	["male neighbor"]	[]	le voisin reviews the canonical male neighbor sense first introduced in Chapter 1.	["fr.noun.voisin","fr.noun.voisin.male-neighbor"]	[]	[]	units/french-core/chapter-001-meeting-a-neighbor/chapter.md	Dialogue > line 4	Je suis Marc, ton voisin.	["Je suis Marc, ton voisin."]	["french","review-deck","chapter-001-005","vocabulary","target-to-source"]
fr-core-review-001-005/fr-noun-voisin-male-neighbor/source-to-target	Chapter 1-5	vocabulary	1	en	fr	male neighbor	["le voisin"]	[]	le voisin reviews the canonical male neighbor sense first introduced in Chapter 1.	["fr.noun.voisin","fr.noun.voisin.male-neighbor"]	[]	[]	units/french-core/chapter-001-meeting-a-neighbor/chapter.md	Dialogue > line 4	Je suis Marc, ton voisin.	["Je suis Marc, ton voisin."]	["french","review-deck","chapter-001-005","vocabulary","source-to-target"]
fr-core-review-001-005/fr-determiner-ton-your-informal-singular/target-to-source	Chapter 1-5	vocabulary	1	fr	en	ton	["your (informal singular)"]	[]	ton reviews the canonical your (informal singular) sense first introduced in Chapter 1.	["fr.determiner.ton","fr.determiner.ton.your-informal-singular"]	[]	[]	units/french-core/chapter-001-meeting-a-neighbor/chapter.md	Dialogue > line 4	Je suis Marc, ton voisin.	["Je suis Marc, ton voisin."]	["french","review-deck","chapter-001-005","vocabulary","target-to-source"]
fr-core-review-001-005/fr-determiner-ton-your-informal-singular/source-to-target	Chapter 1-5	vocabulary	1	en	fr	your (informal singular)	["ton"]	[]	ton reviews the canonical your (informal singular) sense first introduced in Chapter 1.	["fr.determiner.ton","fr.determiner.ton.your-informal-singular"]	[]	[]	units/french-core/chapter-001-meeting-a-neighbor/chapter.md	Dialogue > line 4	Je suis Marc, ton voisin.	["Je suis Marc, ton voisin."]	["french","review-deck","chapter-001-005","vocabulary","source-to-target"]
fr-core-review-001-005/fr-noun-etudiante-female-student/target-to-source	Chapter 1-5	vocabulary	1	fr	en	l'étudiante (F)	["female student"]	[]	l'étudiante (F) reviews the canonical female student sense first introduced in Chapter 1.	["fr.noun.etudiante","fr.noun.etudiante.female-student"]	[]	[]	units/french-core/chapter-001-meeting-a-neighbor/chapter.md	Dialogue > line 5	Je suis étudiante.	["Je suis étudiante."]	["french","review-deck","chapter-001-005","vocabulary","target-to-source"]
fr-core-review-001-005/fr-noun-etudiante-female-student/source-to-target	Chapter 1-5	vocabulary	1	en	fr	female student	["l'étudiante (F)"]	[]	l'étudiante (F) reviews the canonical female student sense first introduced in Chapter 1.	["fr.noun.etudiante","fr.noun.etudiante.female-student"]	[]	[]	units/french-core/chapter-001-meeting-a-neighbor/chapter.md	Dialogue > line 5	Je suis étudiante.	["Je suis étudiante."]	["french","review-deck","chapter-001-005","vocabulary","source-to-target"]
fr-core-review-001-005/fr-expression-enchante-nice-to-meet-you/target-to-source	Chapter 1-5	vocabulary	1	fr	en	enchanté	["nice to meet you"]	[]	enchanté reviews the canonical nice to meet you sense first introduced in Chapter 1.	["fr.expression.enchante","fr.expression.enchante.nice-to-meet-you"]	[]	[]	units/french-core/chapter-001-meeting-a-neighbor/chapter.md	Dialogue > line 6	Enchanté, je suis cuisinier.	["Enchanté, je suis cuisinier."]	["french","review-deck","chapter-001-005","vocabulary","target-to-source"]
fr-core-review-001-005/fr-expression-enchante-nice-to-meet-you/source-to-target	Chapter 1-5	vocabulary	1	en	fr	nice to meet you	["enchanté"]	[]	enchanté reviews the canonical nice to meet you sense first introduced in Chapter 1.	["fr.expression.enchante","fr.expression.enchante.nice-to-meet-you"]	[]	[]	units/french-core/chapter-001-meeting-a-neighbor/chapter.md	Dialogue > line 6	Enchanté, je suis cuisinier.	["Enchanté, je suis cuisinier."]	["french","review-deck","chapter-001-005","vocabulary","source-to-target"]
fr-core-review-001-005/fr-noun-cuisinier-male-cook/target-to-source	Chapter 1-5	vocabulary	1	fr	en	le cuisinier	["male cook"]	[]	le cuisinier reviews the canonical male cook sense first introduced in Chapter 1.	["fr.noun.cuisinier","fr.noun.cuisinier.male-cook"]	[]	[]	units/french-core/chapter-001-meeting-a-neighbor/chapter.md	Dialogue > line 6	Enchanté, je suis cuisinier.	["Enchanté, je suis cuisinier."]	["french","review-deck","chapter-001-005","vocabulary","target-to-source"]
fr-core-review-001-005/fr-noun-cuisinier-male-cook/source-to-target	Chapter 1-5	vocabulary	1	en	fr	male cook	["le cuisinier"]	[]	le cuisinier reviews the canonical male cook sense first introduced in Chapter 1.	["fr.noun.cuisinier","fr.noun.cuisinier.male-cook"]	[]	[]	units/french-core/chapter-001-meeting-a-neighbor/chapter.md	Dialogue > line 6	Enchanté, je suis cuisinier.	["Enchanté, je suis cuisinier."]	["french","review-deck","chapter-001-005","vocabulary","source-to-target"]
fr-core-review-001-005/fr-noun-appartement-apartment/target-to-source	Chapter 1-5	vocabulary	2	fr	en	l'appartement (M)	["apartment"]	[]	l'appartement (M) reviews the canonical apartment sense first introduced in Chapter 2.	["fr.noun.appartement","fr.noun.appartement.apartment"]	[]	[]	units/french-core/chapter-002-breakfast-in-the-apartment/chapter.md	Narrative > line 1	L'appartement est calme le matin.	["L'appartement est calme le matin."]	["french","review-deck","chapter-001-005","vocabulary","target-to-source"]
