mapping_code	source_type	source_id	simplified_word	traditional_word	simplified_sentence	traditional_sentence	source_sentence
3509_1	tatoeba	801434	津巴布韦	津巴布韋	津巴布韦曾经是英国的殖民地。	津巴布韋曾經是英國的殖民地。	津巴布韋曾經是英國的殖民地。
3522_1	tatoeba	350674	门闩	門閂	他把门闩上。	他把門閂上。	他把门闩上。
3523_1	leipzig	zho_news_2020_300K:158271	讣告	訃告	报纸讣告版面不断记录着新增的死亡。	報紙訃告版面不斷記錄著新增的死亡。	报纸讣告版面不断记录着新增的死亡。
3537_1	leipzig	zho_news_2020_300K:165137	张君劢	張君勱	政协会议闭幕后，经王世杰和周恩来推荐，民社党的张君劢先生主持起草了《中华民国宪法草案》。	政協會議閉幕後，經王世傑和周恩來推薦，民社黨的張君勱先生主持起草了《中華民國憲法草案》。	政协会议闭幕后，经王世杰和周恩来推荐，民社党的张君劢先生主持起草了《中华民国宪法草案》。
3550_1	tatoeba	1551891	反刍	反芻	牛是一种反刍类的哺乳动物。	牛是一種反芻類的哺乳動物。	牛是一种反刍类的哺乳动物。
3551_1	authored	level-2/3551_1	邝天雄	鄺天雄	邝天雄是一个人名。	鄺天雄是一個人名。	邝天雄是一个人名。
3554_1	leipzig	zho_news_2020_300K:170953	攻讦	攻訐	无论是出于哪一种心理，辱骂、攻讦、造谣明星都是不可取的。	無論是出於哪一種心理，辱罵、攻訐、造謠明星都是不可取的。	无论是出于哪一种心理，辱骂、攻讦、造谣明星都是不可取的。
3555_1	tatoeba	1409086	内讧	內訌	他们开始内讧了。	他們開始內訌了。	他们开始内讧了。
3556_1	tatoeba	1806670	搭讪	搭訕	在酒吧有没有美女找你搭讪？	在酒吧有沒有美女找你搭訕？	在酒吧有没有美女找你搭讪？
3557_1	leipzig	zho_wikipedia_2018_1M:228035	起讫	起訖	其流行期的起讫，集中出现在狂热个人崇拜、	其流行期的起訖，集中出現在狂熱個人崇拜、	其流行期的起讫，集中出现在狂热个人崇拜、
3562_1	tatoeba	13610551	驾驭	駕馭	若没有适当训练，狼狗的力量与反应速度足以让一般饲主无法驾驭。	若沒有適當訓練，狼狗的力量與反應速度足以讓一般飼主無法駕馭。	若沒有適當訓練，狼狗的力量與反應速度足以讓一般飼主無法駕馭。
3566_1	authored	level-2/3566_1	天玑	天璣	天玑是一颗恒星。	天璣是一顆恆星。	天玑是一颗恒星。
3574_1	authored	level-2/3574_1	川圹	川壙	川圹是一个较少见的词语。	川壙是一個較少見的詞語。	川圹是一个较少见的词语。
3575_1	leipzig	zho_news_2020_300K:180248	扪心自问	捫心自問	有时候扪心自问，这是一种病，得治。	有時候捫心自問，這是一種病，得治。	有时候扪心自问，这是一种病，得治。
3584_1	leipzig	zho_wikipedia_2018_1M:833326	芗城	薌城	芗城区还有市区环城河以及大小河塘。	薌城區還有市區環城河以及大小河塘。	芗城区还有市区环城河以及大小河塘。
3586_1	authored	level-2/3586_1	厍狻保	厙狻保	厍狻保是一个较少见的词语。	厙狻保是一個較少見的詞語。	厍狻保是一个较少见的词语。
3597_1	authored	level-2/3597_1	磷钇矿	磷釔礦	磷钇矿是一种材料或化学物质。	磷釔礦是一種材料或化學物質。	磷钇矿是一种材料或化学物质。
3603_1	authored	level-2/3603_1	伛偻	傴僂	伛偻是一个较少见的词语。	傴僂是一個較少見的詞語。	伛偻是一个较少见的词语。
3607_1	leipzig	zho_news_2020_300K:37620	为虎作伥	為虎作倀	他仗着后台硬，为虎作伥，鱼肉乡里。	他仗著後臺硬，為虎作倀，魚肉鄉里。	他仗着后台硬，为虎作伥，鱼肉乡里。
3608_1	authored	level-2/3608_1	寒伧	寒傖	寒伧是一个描写性质或状态的词。	寒傖是一個描寫性質或狀態的詞。	寒伧是一个描写性质或状态的词。
3617_1	leipzig	zho_news_2020_300K:224690	粗犷	粗獷	石阶数百，錾凿粗犷，仅可容足，陡峭若泰山十八盘。	石階數百，鏨鑿粗獷，僅可容足，陡峭若泰山十八盤。	石阶数百，錾凿粗犷，仅可容足，陡峭若泰山十八盘。
3618_1	leipzig	zho_wikipedia_2018_1M:780163	猛犸象	猛獁象	，結果產生的樣本近似于真正的猛犸象細胞。	，結果產生的樣本近似於真正的猛獁象細胞。	，結果產生的樣本近似于真正的猛犸象細胞。
3620_1	authored	level-2/3620_1	凫水	鳬水	凫水表示游水。	鳬水表示游水。	凫水表示游水。
3621_1	authored	level-2/3621_1	邬君临	鄔君臨	邬君临是一个人名。	鄔君臨是一個人名。	邬君临是一个人名。
3622_1	authored	level-2/3622_1	饧面	餳麵	饧面表示一种动作。	餳麵表示一種動作。	饧面表示一种动作。
3630_1	tatoeba	838375	忏悔	懺悔	犯错出忏悔心，才能清净无烦恼。	犯錯出懺悔心，才能清淨無煩惱。	犯錯出懺悔心，才能清淨無煩惱。
3631_1	leipzig	zho_news_2020_300K:124834	讴歌	謳歌	容若一向讴歌爱情，字字句句都是爱情的悲唱。	容若一向謳歌愛情，字字句句都是愛情的悲唱。	容若一向讴歌爱情，字字句句都是爱情的悲唱。
3632_1	authored	level-2/3632_1	讵非所料	詎非所料	讵非所料是一个成语或固定说法。	詎非所料是一個成語或固定說法。	讵非所料是一个成语或固定说法。
3634_1	leipzig	zho_news_2020_300K:181849	木讷	木訥	木讷人，有酒镇压独坐一处不敢动，有思无思。	木訥人，有酒鎮壓獨坐一處不敢動，有思無思。	木讷人，有酒镇压独坐一处不敢动，有思无思。
3644_1	authored	level-2/3644_1	纡尊降贵	紆尊降貴	纡尊降贵是一个成语或固定说法。	紆尊降貴是一個成語或固定說法。	纡尊降贵是一个成语或固定说法。
3645_1	leipzig	zho_news_2020_300K:207647	助纣为虐	助紂為虐	然而，现实情况却是网络霸凌“助纣为虐”。	然而，現實情況卻是網路霸凌“助紂為虐”。	然而，现实情况却是网络霸凌“助纣为虐”。
3646_1	leipzig	zho_news_2020_300K:256849	回纥	回紇	要说清楚这个问题，首先我们就要说下维吾尔族的先祖回纥。	要說清楚這個問題，首先我們就要說下維吾爾族的先祖回紇。	要说清楚这个问题，首先我们就要说下维吾尔族的先祖回纥。
3647_1	leipzig	zho_wikipedia_2018_1M:529101	纨扇	紈扇	扇面多是桃形，形似纨扇，是用细如绢丝的竹丝精心编织而成的。	扇面多是桃形，形似紈扇，是用細如絹絲的竹絲精心編織而成的。	扇面多是桃形，形似纨扇，是用细如绢丝的竹丝精心编织而成的。
3650_1	authored	level-2/3650_1	抟风	摶風	抟风表示一种动作。	摶風表示一種動作。	抟风表示一种动作。
3655_1	tatoeba	883466	好莱坞	好萊塢	好莱坞不是以前的样子了。	好萊塢不是以前的樣子了。	好萊塢不是以前的樣子了。
3661_0	leipzig	zho_wikipedia_2018_1M:787543	芸豆	芸豆	经济作物有亚麻、大麻、芸豆、向日葵、白瓜子等。	經濟作物有亞麻、大麻、芸豆、向日葵、白瓜子等。	经济作物有亚麻、大麻、芸豆、向日葵、白瓜子等。
3661_1	authored	level-2/3661_1	芸薹	蕓薹	芸薹是一种植物。	蕓薹是一種植物。	芸薹是一种植物。
3663_1	authored	level-2/3663_1	葶苈子	葶藶子	葶苈子是一种植物。	葶藶子是一種植物。	葶苈子是一种植物。
3667_1	authored	level-2/3667_1	刺苋	刺莧	刺苋是一种植物。	刺莧是一種植物。	刺苋是一种植物。
3669_1	authored	level-2/3669_1	苌楚	萇楚	苌楚是一种植物。	萇楚是一種植物。	苌楚是一种植物。
3670_1	authored	level-2/3670_1	肉苁蓉	肉蓯蓉	肉苁蓉是一种植物。	肉蓯蓉是一種植物。	肉苁蓉是一种植物。
3676_1	leipzig	zho_wikipedia_2018_1M:834033	苎麻	苧麻	；苎麻种植面积51万亩，占全国的30%。	；苧麻種植面積51萬畝，佔全國的30%。	；苎麻种植面积51万亩，占全国的30%。
