card_id	deck	kind	source_chapter	prompt_language	answer_language	prompt	accepted_answers	distractors	explanation	lexical_ids	grammar_ids	geographic_ids	provenance_path	provenance_locator	provenance_evidence	examples	tags
zh-tmp7-vocabulary/0001/a-meaning	tmp7 - Vocabulary	vocabulary	tmp7 sentence 01	en	zh-Hans	already	"[""Pinyin: yǐ jīng\nCharacters: 已经 / 已經""]"	"[]"		"[""zh.tmp7-vocabulary.0001""]"	"[]"	"[]"	sources/vocabulary.tsv	sentence 1; entry 1	已经 / 已經 was extracted from tmp7 example sentence 1.	"[""我已经了解事情的经过。"",""我已經瞭解事情的經過。""]"	"[""chinese"",""vocabulary"",""tmp7"",""abc"",""simplified"",""traditional""]"
zh-tmp7-vocabulary/0001/b-pinyin	tmp7 - Vocabulary	vocabulary	tmp7 sentence 01	zh-Latn-pinyin	zh-Hans	Pinyin: yǐ jīng	"[""Meaning: already\nCharacters: 已经 / 已經""]"	"[]"		"[""zh.tmp7-vocabulary.0001""]"	"[]"	"[]"	sources/vocabulary.tsv	sentence 1; entry 1	已经 / 已經 was extracted from tmp7 example sentence 1.	"[""我已经了解事情的经过。"",""我已經瞭解事情的經過。""]"	"[""chinese"",""vocabulary"",""tmp7"",""abc"",""simplified"",""traditional""]"
zh-tmp7-vocabulary/0001/c-characters	tmp7 - Vocabulary	vocabulary	tmp7 sentence 01	zh-Hans	en	Characters: 已经 / 已經	"[""Meaning: already\nPinyin: yǐ jīng""]"	"[]"		"[""zh.tmp7-vocabulary.0001""]"	"[]"	"[]"	sources/vocabulary.tsv	sentence 1; entry 1	已经 / 已經 was extracted from tmp7 example sentence 1.	"[""我已经了解事情的经过。"",""我已經瞭解事情的經過。""]"	"[""chinese"",""vocabulary"",""tmp7"",""abc"",""simplified"",""traditional""]"
zh-tmp7-vocabulary/0002/a-meaning	tmp7 - Vocabulary	vocabulary	tmp7 sentence 01	en	zh-Hans	to understand	"[""Pinyin: liǎo jiě\nCharacters: 了解 / 瞭解""]"	"[]"		"[""zh.tmp7-vocabulary.0002""]"	"[]"	"[]"	sources/vocabulary.tsv	sentence 1; entry 2	了解 / 瞭解 was extracted from tmp7 example sentence 1.	"[""我已经了解事情的经过。"",""我已經瞭解事情的經過。""]"	"[""chinese"",""vocabulary"",""tmp7"",""abc"",""simplified"",""traditional""]"
zh-tmp7-vocabulary/0002/b-pinyin	tmp7 - Vocabulary	vocabulary	tmp7 sentence 01	zh-Latn-pinyin	zh-Hans	Pinyin: liǎo jiě	"[""Meaning: to understand\nCharacters: 了解 / 瞭解""]"	"[]"		"[""zh.tmp7-vocabulary.0002""]"	"[]"	"[]"	sources/vocabulary.tsv	sentence 1; entry 2	了解 / 瞭解 was extracted from tmp7 example sentence 1.	"[""我已经了解事情的经过。"",""我已經瞭解事情的經過。""]"	"[""chinese"",""vocabulary"",""tmp7"",""abc"",""simplified"",""traditional""]"
zh-tmp7-vocabulary/0002/c-characters	tmp7 - Vocabulary	vocabulary	tmp7 sentence 01	zh-Hans	en	Characters: 了解 / 瞭解	"[""Meaning: to understand\nPinyin: liǎo jiě""]"	"[]"		"[""zh.tmp7-vocabulary.0002""]"	"[]"	"[]"	sources/vocabulary.tsv	sentence 1; entry 2	了解 / 瞭解 was extracted from tmp7 example sentence 1.	"[""我已经了解事情的经过。"",""我已經瞭解事情的經過。""]"	"[""chinese"",""vocabulary"",""tmp7"",""abc"",""simplified"",""traditional""]"
zh-tmp7-vocabulary/0003/a-meaning	tmp7 - Vocabulary	vocabulary	tmp7 sentence 01	en	zh-Hans	matter; affair	"[""Pinyin: shì qing\nCharacters: 事情""]"	"[]"		"[""zh.tmp7-vocabulary.0003""]"	"[]"	"[]"	sources/vocabulary.tsv	sentence 1; entry 3	事情 / 事情 was extracted from tmp7 example sentence 1.	"[""我已经了解事情的经过。"",""我已經瞭解事情的經過。""]"	"[""chinese"",""vocabulary"",""tmp7"",""abc"",""simplified"",""traditional""]"
zh-tmp7-vocabulary/0003/b-pinyin	tmp7 - Vocabulary	vocabulary	tmp7 sentence 01	zh-Latn-pinyin	zh-Hans	Pinyin: shì qing	"[""Meaning: matter; affair\nCharacters: 事情""]"	"[]"		"[""zh.tmp7-vocabulary.0003""]"	"[]"	"[]"	sources/vocabulary.tsv	sentence 1; entry 3	事情 / 事情 was extracted from tmp7 example sentence 1.	"[""我已经了解事情的经过。"",""我已經瞭解事情的經過。""]"	"[""chinese"",""vocabulary"",""tmp7"",""abc"",""simplified"",""traditional""]"
zh-tmp7-vocabulary/0003/c-characters	tmp7 - Vocabulary	vocabulary	tmp7 sentence 01	zh-Hans	en	Characters: 事情	"[""Meaning: matter; affair\nPinyin: shì qing""]"	"[]"		"[""zh.tmp7-vocabulary.0003""]"	"[]"	"[]"	sources/vocabulary.tsv	sentence 1; entry 3	事情 / 事情 was extracted from tmp7 example sentence 1.	"[""我已经了解事情的经过。"",""我已經瞭解事情的經過。""]"	"[""chinese"",""vocabulary"",""tmp7"",""abc"",""simplified"",""traditional""]"
zh-tmp7-vocabulary/0004/a-meaning	tmp7 - Vocabulary	vocabulary	tmp7 sentence 01	en	zh-Hans	course; process	"[""Pinyin: jīng guò\nCharacters: 经过 / 經過""]"	"[]"		"[""zh.tmp7-vocabulary.0004""]"	"[]"	"[]"	sources/vocabulary.tsv	sentence 1; entry 4	经过 / 經過 was extracted from tmp7 example sentence 1.	"[""我已经了解事情的经过。"",""我已經瞭解事情的經過。""]"	"[""chinese"",""vocabulary"",""tmp7"",""abc"",""simplified"",""traditional""]"
zh-tmp7-vocabulary/0004/b-pinyin	tmp7 - Vocabulary	vocabulary	tmp7 sentence 01	zh-Latn-pinyin	zh-Hans	Pinyin: jīng guò	"[""Meaning: course; process\nCharacters: 经过 / 經過""]"	"[]"		"[""zh.tmp7-vocabulary.0004""]"	"[]"	"[]"	sources/vocabulary.tsv	sentence 1; entry 4	经过 / 經過 was extracted from tmp7 example sentence 1.	"[""我已经了解事情的经过。"",""我已經瞭解事情的經過。""]"	"[""chinese"",""vocabulary"",""tmp7"",""abc"",""simplified"",""traditional""]"
zh-tmp7-vocabulary/0004/c-characters	tmp7 - Vocabulary	vocabulary	tmp7 sentence 01	zh-Hans	en	Characters: 经过 / 經過	"[""Meaning: course; process\nPinyin: jīng guò""]"	"[]"		"[""zh.tmp7-vocabulary.0004""]"	"[]"	"[]"	sources/vocabulary.tsv	sentence 1; entry 4	经过 / 經過 was extracted from tmp7 example sentence 1.	"[""我已经了解事情的经过。"",""我已經瞭解事情的經過。""]"	"[""chinese"",""vocabulary"",""tmp7"",""abc"",""simplified"",""traditional""]"
zh-tmp7-vocabulary/0005/a-meaning	tmp7 - Vocabulary	vocabulary	tmp7 sentence 02	en	zh-Hans	legend	"[""Pinyin: chuán shuō\nCharacters: 传说 / 傳說""]"	"[]"		"[""zh.tmp7-vocabulary.0005""]"	"[]"	"[]"	sources/vocabulary.tsv	sentence 2; entry 5	传说 / 傳說 was extracted from tmp7 example sentence 2.	"[""传说中的凤凰从烈火中重生。"",""傳說中的鳳凰從烈火中重生。""]"	"[""chinese"",""vocabulary"",""tmp7"",""abc"",""simplified"",""traditional""]"
zh-tmp7-vocabulary/0005/b-pinyin	tmp7 - Vocabulary	vocabulary	tmp7 sentence 02	zh-Latn-pinyin	zh-Hans	Pinyin: chuán shuō	"[""Meaning: legend\nCharacters: 传说 / 傳說""]"	"[]"		"[""zh.tmp7-vocabulary.0005""]"	"[]"	"[]"	sources/vocabulary.tsv	sentence 2; entry 5	传说 / 傳說 was extracted from tmp7 example sentence 2.	"[""传说中的凤凰从烈火中重生。"",""傳說中的鳳凰從烈火中重生。""]"	"[""chinese"",""vocabulary"",""tmp7"",""abc"",""simplified"",""traditional""]"
zh-tmp7-vocabulary/0005/c-characters	tmp7 - Vocabulary	vocabulary	tmp7 sentence 02	zh-Hans	en	Characters: 传说 / 傳說	"[""Meaning: legend\nPinyin: chuán shuō""]"	"[]"		"[""zh.tmp7-vocabulary.0005""]"	"[]"	"[]"	sources/vocabulary.tsv	sentence 2; entry 5	传说 / 傳說 was extracted from tmp7 example sentence 2.	"[""传说中的凤凰从烈火中重生。"",""傳說中的鳳凰從烈火中重生。""]"	"[""chinese"",""vocabulary"",""tmp7"",""abc"",""simplified"",""traditional""]"
zh-tmp7-vocabulary/0006/a-meaning	tmp7 - Vocabulary	vocabulary	tmp7 sentence 02	en	zh-Hans	phoenix	"[""Pinyin: fèng huáng\nCharacters: 凤凰 / 鳳凰""]"	"[]"		"[""zh.tmp7-vocabulary.0006""]"	"[]"	"[]"	sources/vocabulary.tsv	sentence 2; entry 6	凤凰 / 鳳凰 was extracted from tmp7 example sentence 2.	"[""传说中的凤凰从烈火中重生。"",""傳說中的鳳凰從烈火中重生。""]"	"[""chinese"",""vocabulary"",""tmp7"",""abc"",""simplified"",""traditional""]"
