card_id	deck	kind	source_chapter	prompt_language	answer_language	prompt	accepted_answers	distractors	explanation	lexical_ids	grammar_ids	geographic_ids	provenance_path	provenance_locator	provenance_evidence	examples	tags
hi-core-review-001-005/hi-greeting-namaste-hello/target-to-source	Chapter 1-5	vocabulary	1	hi	en	नमस्ते	["hello"]	[]	नमस्ते reviews the canonical hello sense first introduced in Chapter 1.	["hi.greeting.namaste","hi.greeting.namaste.hello"]	[]	[]	units/hindi-core/chapter-001-polite-introductions/chapter.md	Dialogue > line 1	नमस्ते.	["नमस्ते."]	["hindi","review-deck","chapter-001-005","vocabulary","target-to-source"]
hi-core-review-001-005/hi-greeting-namaste-hello/source-to-target	Chapter 1-5	vocabulary	1	en	hi	hello	["नमस्ते"]	[]	नमस्ते reviews the canonical hello sense first introduced in Chapter 1.	["hi.greeting.namaste","hi.greeting.namaste.hello"]	[]	[]	units/hindi-core/chapter-001-polite-introductions/chapter.md	Dialogue > line 1	नमस्ते.	["नमस्ते."]	["hindi","review-deck","chapter-001-005","vocabulary","source-to-target"]
hi-core-review-001-005/hi-particle-ji-polite-honorific/target-to-source	Chapter 1-5	vocabulary	1	hi	en	जी	["polite honorific"]	[]	जी reviews the canonical polite honorific sense first introduced in Chapter 1.	["hi.particle.ji","hi.particle.ji.polite-honorific"]	[]	[]	units/hindi-core/chapter-001-polite-introductions/chapter.md	Dialogue > line 2	नमस्ते जी.	["नमस्ते जी."]	["hindi","review-deck","chapter-001-005","vocabulary","target-to-source"]
hi-core-review-001-005/hi-particle-ji-polite-honorific/source-to-target	Chapter 1-5	vocabulary	1	en	hi	polite honorific	["जी"]	[]	जी reviews the canonical polite honorific sense first introduced in Chapter 1.	["hi.particle.ji","hi.particle.ji.polite-honorific"]	[]	[]	units/hindi-core/chapter-001-polite-introductions/chapter.md	Dialogue > line 2	नमस्ते जी.	["नमस्ते जी."]	["hindi","review-deck","chapter-001-005","vocabulary","source-to-target"]
hi-core-review-001-005/hi-pronoun-main-i/target-to-source	Chapter 1-5	vocabulary	1	hi	en	मैं	["I"]	[]	मैं reviews the canonical I sense first introduced in Chapter 1.	["hi.pronoun.main","hi.pronoun.main.i"]	[]	[]	units/hindi-core/chapter-001-polite-introductions/chapter.md	Dialogue > line 3	मैं रीना हूँ.	["मैं रीना हूँ."]	["hindi","review-deck","chapter-001-005","vocabulary","target-to-source"]
hi-core-review-001-005/hi-pronoun-main-i/source-to-target	Chapter 1-5	vocabulary	1	en	hi	I	["मैं"]	[]	मैं reviews the canonical I sense first introduced in Chapter 1.	["hi.pronoun.main","hi.pronoun.main.i"]	[]	[]	units/hindi-core/chapter-001-polite-introductions/chapter.md	Dialogue > line 3	मैं रीना हूँ.	["मैं रीना हूँ."]	["hindi","review-deck","chapter-001-005","vocabulary","source-to-target"]
hi-core-review-001-005/hi-verb-hona-be/target-to-source	Chapter 1-5	vocabulary	1	hi	en	होना	["to be"]	[]	होना reviews the canonical to be sense first introduced in Chapter 1.	["hi.verb.hona","hi.verb.hona.be"]	[]	[]	units/hindi-core/chapter-001-polite-introductions/chapter.md	Dialogue > line 3	मैं रीना हूँ.	["मैं रीना हूँ."]	["hindi","review-deck","chapter-001-005","vocabulary","target-to-source"]
hi-core-review-001-005/hi-verb-hona-be/source-to-target	Chapter 1-5	vocabulary	1	en	hi	to be	["होना"]	[]	होना reviews the canonical to be sense first introduced in Chapter 1.	["hi.verb.hona","hi.verb.hona.be"]	[]	[]	units/hindi-core/chapter-001-polite-introductions/chapter.md	Dialogue > line 3	मैं रीना हूँ.	["मैं रीना हूँ."]	["hindi","review-deck","chapter-001-005","vocabulary","source-to-target"]
hi-core-review-001-005/hi-noun-chatra-f-female-student/target-to-source	Chapter 1-5	vocabulary	1	hi	en	छात्रा	["female student"]	[]	छात्रा reviews the canonical female student sense first introduced in Chapter 1.	["hi.noun.chatra-f","hi.noun.chatra-f.female-student"]	[]	[]	units/hindi-core/chapter-001-polite-introductions/chapter.md	Dialogue > line 5	मैं छात्रा हूँ.	["मैं छात्रा हूँ."]	["hindi","review-deck","chapter-001-005","vocabulary","target-to-source"]
hi-core-review-001-005/hi-noun-chatra-f-female-student/source-to-target	Chapter 1-5	vocabulary	1	en	hi	female student	["छात्रा"]	[]	छात्रा reviews the canonical female student sense first introduced in Chapter 1.	["hi.noun.chatra-f","hi.noun.chatra-f.female-student"]	[]	[]	units/hindi-core/chapter-001-polite-introductions/chapter.md	Dialogue > line 5	मैं छात्रा हूँ.	["मैं छात्रा हूँ."]	["hindi","review-deck","chapter-001-005","vocabulary","source-to-target"]
hi-core-review-001-005/hi-noun-chatra-m-male-student/target-to-source	Chapter 1-5	vocabulary	1	hi	en	छात्र	["male student"]	[]	छात्र reviews the canonical male student sense first introduced in Chapter 1.	["hi.noun.chatra-m","hi.noun.chatra-m.male-student"]	[]	[]	units/hindi-core/chapter-001-polite-introductions/chapter.md	Dialogue > line 6	मैं छात्र हूँ.	["मैं छात्र हूँ."]	["hindi","review-deck","chapter-001-005","vocabulary","target-to-source"]
hi-core-review-001-005/hi-noun-chatra-m-male-student/source-to-target	Chapter 1-5	vocabulary	1	en	hi	male student	["छात्र"]	[]	छात्र reviews the canonical male student sense first introduced in Chapter 1.	["hi.noun.chatra-m","hi.noun.chatra-m.male-student"]	[]	[]	units/hindi-core/chapter-001-polite-introductions/chapter.md	Dialogue > line 6	मैं छात्र हूँ.	["मैं छात्र हूँ."]	["hindi","review-deck","chapter-001-005","vocabulary","source-to-target"]
hi-core-review-001-005/hi-noun-ghar-house-home/target-to-source	Chapter 1-5	vocabulary	2	hi	en	घर	["house; home"]	[]	घर reviews the canonical house; home sense first introduced in Chapter 2.	["hi.noun.ghar","hi.noun.ghar.house-home"]	[]	[]	units/hindi-core/chapter-002-a-room-at-home/chapter.md	Narrative > line 1	रीना का घर छोटा है.	["रीना का घर छोटा है."]	["hindi","review-deck","chapter-001-005","vocabulary","target-to-source"]
hi-core-review-001-005/hi-noun-ghar-house-home/source-to-target	Chapter 1-5	vocabulary	2	en	hi	house; home	["घर"]	[]	घर reviews the canonical house; home sense first introduced in Chapter 2.	["hi.noun.ghar","hi.noun.ghar.house-home"]	[]	[]	units/hindi-core/chapter-002-a-room-at-home/chapter.md	Narrative > line 1	रीना का घर छोटा है.	["रीना का घर छोटा है."]	["hindi","review-deck","chapter-001-005","vocabulary","source-to-target"]
hi-core-review-001-005/hi-postposition-ka-of-possessive/target-to-source	Chapter 1-5	vocabulary	2	hi	en	का	["of; possessive marker"]	[]	का reviews the canonical of; possessive marker sense first introduced in Chapter 2.	["hi.postposition.ka","hi.postposition.ka.of-possessive"]	[]	[]	units/hindi-core/chapter-002-a-room-at-home/chapter.md	Narrative > line 1	रीना का घर छोटा है.	["रीना का घर छोटा है."]	["hindi","review-deck","chapter-001-005","vocabulary","target-to-source"]
hi-core-review-001-005/hi-postposition-ka-of-possessive/source-to-target	Chapter 1-5	vocabulary	2	en	hi	of; possessive marker	["का"]	[]	का reviews the canonical of; possessive marker sense first introduced in Chapter 2.	["hi.postposition.ka","hi.postposition.ka.of-possessive"]	[]	[]	units/hindi-core/chapter-002-a-room-at-home/chapter.md	Narrative > line 1	रीना का घर छोटा है.	["रीना का घर छोटा है."]	["hindi","review-deck","chapter-001-005","vocabulary","source-to-target"]
hi-core-review-001-005/hi-adjective-chhota-small/target-to-source	Chapter 1-5	vocabulary	2	hi	en	छोटा	["small"]	[]	छोटा reviews the canonical small sense first introduced in Chapter 2.	["hi.adjective.chhota","hi.adjective.chhota.small"]	[]	[]	units/hindi-core/chapter-002-a-room-at-home/chapter.md	Narrative > line 1	रीना का घर छोटा है.	["रीना का घर छोटा है."]	["hindi","review-deck","chapter-001-005","vocabulary","target-to-source"]
hi-core-review-001-005/hi-adjective-chhota-small/source-to-target	Chapter 1-5	vocabulary	2	en	hi	small	["छोटा"]	[]	छोटा reviews the canonical small sense first introduced in Chapter 2.	["hi.adjective.chhota","hi.adjective.chhota.small"]	[]	[]	units/hindi-core/chapter-002-a-room-at-home/chapter.md	Narrative > line 1	रीना का घर छोटा है.	["रीना का घर छोटा है."]	["hindi","review-deck","chapter-001-005","vocabulary","source-to-target"]
hi-core-review-001-005/hi-noun-kamra-room/target-to-source	Chapter 1-5	vocabulary	2	hi	en	कमरा	["room"]	[]	कमरा reviews the canonical room sense first introduced in Chapter 2.	["hi.noun.kamra","hi.noun.kamra.room"]	[]	[]	units/hindi-core/chapter-002-a-room-at-home/chapter.md	Narrative > line 2	घर में एक कमरा है.	["घर में एक कमरा है."]	["hindi","review-deck","chapter-001-005","vocabulary","target-to-source"]
hi-core-review-001-005/hi-noun-kamra-room/source-to-target	Chapter 1-5	vocabulary	2	en	hi	room	["कमरा"]	[]	कमरा reviews the canonical room sense first introduced in Chapter 2.	["hi.noun.kamra","hi.noun.kamra.room"]	[]	[]	units/hindi-core/chapter-002-a-room-at-home/chapter.md	Narrative > line 2	घर में एक कमरा है.	["घर में एक कमरा है."]	["hindi","review-deck","chapter-001-005","vocabulary","source-to-target"]
